,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_i_cr30_101,phase_i_cr30_gln,phase_i_cr30_lln,phase_i_cr30_tln
0,0.0,0,0.0,0.0,0.0,0,0,0,0
1,1.0,1,0.0,0.0,0.0,0,0,0,0
2,2.0,1,0.0,0.0,1.2153409767779522,0,0,0,0
3,3.0,1,0.0,0.0,2.4193640975436814,0,0,0,0
4,4.0,1,0.0,0.0,3.6707013219071083,0,0,0,0
5,5.0,1,0.0,0.0,4.774991369051858,0,0,1,0
6,6.0,1,0.0,0.0,5.7223297071099894,0,0,0,0
7,7.0,1,0.0,0.0,6.811214258006241,0,0,0,0
8,8.0,1,0.0,0.0,8.003366797111811,0,0,0,0
9,9.0,1,0.0,0.0,9.03150960620389,0,0,0,1
10,10.0,2,0.0,0.0,8.990925089582433,0,0,0,0
11,11.0,1,0.0,0.0,9.821391746050923,0,0,0,0
12,12.0,1,0.0,0.0,10.429536915711624,0,0,0,0
13,13.0,1,0.0,0.0,10.33433038897098,1,0,0,0
14,14.0,1,0.0,0.0,10.466879930382872,0,0,0,0
15,15.0,1,0.0,0.0,10.648444709599799,0,0,0,0
16,16.0,1,0.0,0.0,10.987295062938278,0,0,0,0
17,17.0,1,0.0,0.0,11.397803918917994,0,0,0,0
18,18.0,2,1.0,0.05263157894736842,11.683308750192248,0,0,1,0
19,19.0,2,2.0,0.1,11.644693936669139,0,0,1,0
20,20.0,2,3.0,0.14285714285714285,11.960663574355157,0,0,1,0
21,21.0,2,4.0,0.18181818181818182,12.616998422236696,0,0,1,0
22,22.0,3,6.0,0.2608695652173913,13.053962102278605,0,0,1,1
23,23.0,3,8.0,0.3333333333333333,13.352031751483773,0,0,1,1
24,24.0,3,10.0,0.4,13.510349468436678,0,0,2,1
25,25.0,3,12.0,0.46153846153846156,13.689451395436418,0,0,1,1
26,26.0,2,14.0,0.5384615384615384,14.52782911725615,0,0,1,1
27,27.0,4,17.0,0.6296296296296297,14.777243332234459,0,0,1,1
28,28.0,4,20.0,0.7142857142857143,15.005285367770531,0,0,1,1
29,29.0,4,23.0,0.7931034482758621,15.006147088047816,0,0,2,1
30,30.0,4,26.0,0.8666666666666667,14.950071070920082,0,0,1,1
31,31.0,3,24.0,0.7741935483870968,14.893876049256344,0,0,1,1
32,32.0,3,26.0,0.8125,14.79771717923023,0,0,2,1
33,33.0,3,28.0,0.875,14.600263458197967,0,0,1,1
34,34.0,4,31.0,0.9393939393939394,14.269420912085922,1,0,1,1
35,35.0,4,34.0,1.0,14.25102021026539,1,0,1,1
36,36.0,4,37.0,1.0571428571428572,13.944430516230335,1,0,1,1
37,37.0,5,40.0,1.0810810810810811,13.745012963716231,1,0,1,1
38,38.0,6,44.0,1.1282051282051282,13.650893238065192,1,0,2,1
39,39.0,5,48.0,1.2307692307692308,13.774537201350814,1,0,2,1
40,40.0,5,52.0,1.3,13.829793258468333,1,0,2,1
41,41.0,6,57.0,1.3902439024390243,14.103975671666088,1,0,3,1
42,42.0,7,63.0,1.5,14.114020193529413,1,0,4,1
43,43.0,6,69.0,1.6428571428571428,14.466757911782757,1,0,4,1
44,44.0,8,75.0,1.7045454545454546,14.11809938826928,1,0,4,1
45,45.0,7,81.0,1.8,14.195133366156849,1,0,4,1
46,46.0,7,88.0,1.9555555555555555,14.517918320181439,2,0,4,1
47,47.0,9,95.0,2.021276595744681,14.056992079495416,2,0,4,1
48,48.0,8,102.0,2.125,14.008255442692658,2,0,4,2
49,49.0,8,109.0,2.2708333333333335,13.855992654308878,2,0,4,1
50,50.0,8,116.0,2.36734693877551,13.747628452120933,2,0,4,1
51,51.0,8,123.0,2.46,13.570706659772625,2,0,4,1
52,52.0,9,130.0,2.5,13.39906101678689,2,0,5,1
53,53.0,8,137.0,2.5849056603773586,13.669683400216737,2,0,4,1
54,54.0,9,145.0,2.7358490566037736,13.587954568909625,3,0,4,1
55,55.0,8,153.0,2.8867924528301887,13.618880777110668,3,0,4,1
56,56.0,11,162.0,2.9454545454545453,13.375940267311615,3,0,4,2
57,57.0,12,172.0,3.017543859649123,13.152843897026354,4,0,4,2
58,58.0,11,182.0,3.1379310344827585,13.070021077926624,4,0,4,2
59,59.0,11,192.0,3.2542372881355934,13.218547486330216,4,1,4,2
60,60.0,11,203.0,3.440677966101695,13.289860313163777,4,0,4,3
61,61.0,13,215.0,3.5833333333333335,13.096209145758259,5,0,4,3
62,62.0,13,227.0,3.783333333333333,12.984160815851421,5,0,4,3
63,63.0,15,241.0,3.9508196721311477,12.871435353615533,6,0,5,4
64,64.0,17,255.0,4.112903225806452,12.061132647596045,6,1,6,3
65,65.0,14,269.0,4.338709677419355,12.085076552318245,6,0,5,3
66,66.0,16,284.0,4.507936507936508,12.214158258548492,7,0,5,3
67,67.0,16,299.0,4.671875,12.387018507146403,7,0,6,3
68,68.0,17,315.0,4.846153846153846,12.560482363012257,8,0,5,3
69,69.0,17,331.0,5.092307692307692,12.442406464030553,8,1,5,3
70,70.0,18,348.0,5.2727272727272725,12.595314766424075,9,0,5,3
71,71.0,17,365.0,5.53030303030303,12.517903751210925,9,0,5,3
72,72.0,19,382.0,5.617647058823529,12.164110093352857,9,0,5,3
73,73.0,18,399.0,5.782608695652174,12.151446737300894,9,0,5,3
74,74.0,18,416.0,6.117647058823529,12.140079536161963,9,1,5,3
75,75.0,18,433.0,6.27536231884058,11.852779383327142,9,0,5,3
76,76.0,20,451.0,6.352112676056338,11.435246530370888,10,0,5,4
77,77.0,20,470.0,6.527777777777778,11.141954478273156,10,0,6,3
78,78.0,21,490.0,6.712328767123288,10.78404708642767,11,0,7,3
79,79.0,22,511.0,7.0,10.692406206406378,11,0,6,4
80,80.0,23,533.0,7.301369863013699,10.622094965533385,11,0,7,4
81,81.0,25,556.0,7.616438356164384,10.541128343939835,11,0,9,4
82,82.0,26,581.0,7.958904109589041,10.642357704842805,11,1,8,5
83,83.0,26,606.0,8.18918918918919,10.70183250220314,11,1,9,5
84,84.0,27,633.0,8.67123287671233,10.662577439325032,12,1,9,5
85,85.0,29,660.0,8.8,10.486130643393954,12,1,9,5
