,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_i_cr30_101,phase_i_cr30_gln,phase_i_cr30_lln,phase_i_cr30_tln
0,0.0,0,0.0,0.0,0.0,0,0,0,0
1,1.0,1,0.0,0.0,0.0,0,0,0,0
2,2.0,1,0.0,0.0,1.0439405246870592,0,0,0,0
3,3.0,1,0.0,0.0,2.0328987531674403,0,0,0,0
4,4.0,1,0.0,0.0,2.8733898444683295,0,0,0,0
5,5.0,1,0.0,0.0,3.879534254772589,0,0,1,0
6,6.0,1,0.0,0.0,4.9466532528206395,0,0,0,0
7,7.0,1,0.0,0.0,5.7899848681142805,0,0,0,0
8,8.0,1,0.0,0.0,6.733936820266535,0,0,0,0
9,9.0,1,0.0,0.0,7.757095760583261,0,0,0,1
10,10.0,2,0.0,0.0,7.8029098612215755,0,0,0,0
11,11.0,1,0.0,0.0,8.564525768609824,0,0,0,0
12,12.0,1,0.0,0.0,9.116986565346977,0,0,0,0
13,13.0,1,0.0,0.0,9.488819003262625,1,0,0,0
14,14.0,1,0.0,0.0,9.37286055041955,0,0,0,0
15,15.0,1,0.0,0.0,9.851412093651117,0,0,0,0
16,16.0,1,0.0,0.0,9.93544484405596,0,0,0,0
17,17.0,1,0.0,0.0,10.179012345799867,0,0,0,0
18,18.0,1,0.0,0.0,10.322720151147275,0,0,0,0
19,19.0,1,0.0,0.0,10.401963991063933,0,0,0,0
20,20.0,2,1.0,0.047619047619047616,10.699155642236866,0,0,1,0
21,21.0,2,2.0,0.09090909090909091,11.371413432484253,0,0,1,0
22,22.0,3,4.0,0.17391304347826086,11.81457808247206,0,0,1,1
23,23.0,3,6.0,0.25,12.217859475753594,0,0,1,1
24,24.0,3,8.0,0.32,12.645470958620159,0,0,2,1
25,25.0,3,10.0,0.38461538461538464,12.926810118195728,0,0,1,1
26,26.0,2,12.0,0.46153846153846156,13.93035235443247,0,0,1,1
27,27.0,3,14.0,0.5185185185185185,14.345933724136843,0,0,1,1
28,28.0,3,16.0,0.5714285714285714,14.568727253107323,0,0,1,1
29,29.0,3,18.0,0.6206896551724138,14.658723492050141,0,0,2,1
30,30.0,3,20.0,0.6666666666666666,14.549993505437666,0,0,1,1
31,31.0,4,23.0,0.7419354838709677,14.383662207386442,0,0,1,1
32,32.0,3,24.0,0.75,14.443015953715598,0,0,2,1
33,33.0,3,26.0,0.7878787878787878,14.460645683511178,0,0,1,1
34,34.0,3,28.0,0.8235294117647058,14.174234079491923,0,0,1,1
35,35.0,3,30.0,0.8571428571428571,13.825538287276359,0,0,1,1
36,36.0,3,33.0,0.9428571428571428,14.160790244004437,1,0,1,1
37,37.0,7,37.0,1.0,12.942002314542105,1,0,2,1
38,38.0,5,41.0,1.0789473684210527,12.919123308532258,1,0,2,1
39,39.0,5,45.0,1.1538461538461537,13.132845974117496,1,0,2,1
40,40.0,7,50.0,1.2195121951219512,12.953984354709908,1,0,2,1
41,41.0,6,54.0,1.2857142857142858,13.256340840941956,1,0,3,1
42,42.0,7,60.0,1.3953488372093024,13.590375375277624,1,0,4,1
43,43.0,7,66.0,1.5,13.675143775312314,1,0,4,1
44,44.0,7,72.0,1.6,13.814395266018924,1,0,4,1
45,45.0,7,78.0,1.7333333333333334,14.075927041863572,1,0,4,1
46,46.0,6,84.0,1.8666666666666667,14.365644778635955,1,0,4,1
47,47.0,9,91.0,1.9361702127659575,14.049764138249536,2,0,4,1
48,48.0,8,98.0,2.0416666666666665,13.781708461330169,2,0,4,2
49,49.0,9,105.0,2.1,13.482340955359618,2,0,4,1
50,50.0,7,112.0,2.2857142857142856,13.775401254135915,2,0,4,1
51,51.0,7,119.0,2.4285714285714284,14.030850055387921,2,0,4,1
52,52.0,9,126.0,2.4705882352941178,13.662816790580049,2,0,5,1
53,53.0,9,133.0,2.509433962264151,13.446682304897418,2,0,4,1
54,54.0,9,141.0,2.660377358490566,13.39273866264162,3,0,4,1
55,55.0,9,149.0,2.811320754716981,13.237963780676065,3,0,4,1
56,56.0,10,157.0,2.8545454545454545,12.930951310835402,3,0,4,1
57,57.0,11,167.0,2.982142857142857,13.102293044516724,4,0,4,2
58,58.0,11,177.0,3.1052631578947367,13.135204808764366,4,0,4,2
59,59.0,11,187.0,3.2241379310344827,13.028407757999963,4,1,4,2
60,60.0,10,197.0,3.396551724137931,13.024612750037324,4,0,4,2
61,61.0,14,209.0,3.4833333333333334,12.434964677543274,5,1,4,3
62,62.0,13,221.0,3.622950819672131,12.039178383890846,5,0,4,3
63,63.0,12,233.0,3.819672131147541,12.1578454114685,5,0,4,3
64,64.0,16,247.0,3.9206349206349205,11.839890020160531,6,0,6,3
65,65.0,14,261.0,4.142857142857143,12.080504481072955,6,0,5,3
66,66.0,18,277.0,4.2615384615384615,11.89603549675539,7,0,5,4
67,67.0,18,294.0,4.454545454545454,11.969302467478657,8,0,6,3
68,68.0,18,311.0,4.641791044776119,12.110165805987318,8,0,5,3
69,69.0,18,328.0,4.823529411764706,12.434232443738635,8,1,5,3
70,70.0,19,346.0,5.088235294117647,12.456713909044806,9,0,5,3
71,71.0,18,364.0,5.352941176470588,12.728260287478546,9,0,5,3
72,72.0,19,382.0,5.617647058823529,12.67194199466954,9,0,5,3
73,73.0,19,392.0,5.6,12.419193514817104,9,0,5,3
74,74.0,18,409.0,5.76056338028169,12.325718233338334,9,1,5,3
75,75.0,18,426.0,6.0,12.042966726276411,9,0,5,3
76,76.0,19,443.0,6.068493150684931,11.664670066034196,9,0,5,4
77,77.0,19,461.0,6.315068493150685,11.341412140255681,9,0,6,3
78,78.0,21,481.0,6.5,11.20572219745344,10,0,8,3
79,79.0,21,501.0,6.77027027027027,11.017580780079237,10,0,7,3
80,80.0,21,521.0,7.136986301369863,10.869358941115987,10,0,7,3
81,81.0,24,543.0,7.438356164383562,10.526197999322557,10,0,9,4
82,82.0,23,565.0,7.739726027397261,10.45059667529528,10,0,8,4
83,83.0,25,590.0,8.082191780821917,10.679589935203976,11,1,9,4
84,84.0,26,616.0,8.555555555555555,10.699970188678357,11,1,9,5
85,85.0,28,642.0,8.675675675675675,10.446785321676765,11,1,9,5
