,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,13.62669125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,12.648712364337259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,12.663712465613758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,12.637841559649743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,13.240941326289857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,12.627924252154724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,13.388362501758705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,13.071126243657519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,13.209912639435265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,13.157206913829855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.629751804122685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,11.883951699242832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,0,0.0,0.0,11.737974709230519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,1,1.0,0.025,10.808552802498733,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,15.0,4,5.0,0.11363636363636363,10.564711063219091,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
16,16.0,5,10.0,0.22727272727272727,10.146845376141515,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
17,17.0,8,18.0,0.375,10.024058630276853,3,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0
18,18.0,8,26.0,0.5416666666666666,9.456909810148012,3,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0
19,19.0,8,34.0,0.6071428571428571,9.887583238628697,3,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0
20,20.0,10,44.0,0.7857142857142857,9.59581591554464,3,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0
21,21.0,11,44.0,0.7333333333333333,9.639676572224671,4,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0
22,22.0,9,46.0,0.7666666666666667,9.398710646859987,4,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0
23,23.0,8,52.0,0.8125,9.237388158131997,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
24,24.0,9,61.0,0.953125,8.736083799301397,5,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
25,25.0,11,72.0,1.0,8.974028016976739,6,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0
26,26.0,13,85.0,1.1805555555555556,8.833174622287956,7,2,0,0,0,0,0,0,0,2,1,0,0,0,0,1
27,27.0,16,101.0,1.3289473684210527,8.841803762551558,7,3,0,0,1,0,0,0,0,3,1,0,0,0,0,1
28,28.0,17,118.0,1.5526315789473684,8.46941782933071,7,3,0,0,2,0,0,0,0,3,1,0,0,0,0,1
29,29.0,19,137.0,1.7125,8.122300595837492,9,3,0,0,2,0,0,0,0,3,1,0,0,0,0,1
30,30.0,21,153.0,1.9125,7.567672763971925,9,3,0,0,4,0,0,0,0,3,0,0,0,0,0,2
31,31.0,24,177.0,2.0113636363636362,7.786792889947501,9,3,0,0,5,0,0,0,0,3,2,0,0,0,0,2
32,32.0,27,204.0,2.3181818181818183,7.366979740282056,10,3,0,0,5,0,0,0,1,3,2,0,0,0,0,3
33,33.0,30,223.0,2.4239130434782608,7.301951233925725,11,4,0,0,3,0,0,0,1,3,3,0,0,0,0,5
34,34.0,31,246.0,2.6739130434782608,7.0127128683641216,12,4,0,0,2,0,0,0,1,3,4,0,0,0,0,5
35,35.0,31,272.0,2.8333333333333335,6.942623369371712,12,4,0,0,1,0,0,0,1,3,5,0,0,0,0,5
36,36.0,31,298.0,3.1041666666666665,6.555349001442072,12,4,0,0,0,0,0,0,0,4,6,0,0,0,0,5
37,37.0,34,332.0,3.1923076923076925,6.632469312931791,13,4,0,0,0,0,0,0,0,4,7,0,0,0,0,6
38,38.0,37,369.0,3.548076923076923,6.266487389327889,14,5,0,0,0,0,0,0,0,5,7,0,0,0,0,6
39,39.0,39,392.0,3.6296296296296298,6.282359728294848,14,5,0,0,0,0,0,0,0,5,5,0,1,0,2,7
40,40.0,39,418.0,3.8703703703703702,6.056219810017793,15,5,0,0,0,0,0,0,0,5,4,0,1,0,2,7
41,41.0,42,449.0,4.008928571428571,6.0707492785370265,16,5,0,0,0,0,0,0,0,5,4,0,1,0,3,8
42,42.0,45,487.0,4.348214285714286,5.843982631651771,16,5,2,0,0,0,0,0,0,5,3,0,1,0,3,10
43,43.0,46,530.0,4.416666666666667,6.254035479488861,17,5,2,0,0,0,0,0,0,5,1,0,1,0,4,11
44,44.0,50,580.0,4.833333333333333,5.963282189562282,18,5,2,0,0,0,0,0,0,6,2,0,1,0,5,11
45,45.0,53,627.0,5.056451612903226,5.961629064687687,19,6,2,0,1,0,0,0,0,6,2,0,0,0,6,11
46,46.0,53,680.0,5.483870967741935,5.733622860687506,19,6,2,0,1,0,0,0,0,6,2,0,0,0,6,11
47,47.0,55,735.0,5.7421875,5.603120794177846,19,6,2,0,3,0,0,0,0,6,2,0,0,0,6,11
48,48.0,58,782.0,6.109375,5.217782740923381,20,6,2,0,4,0,0,0,0,6,1,0,1,0,7,11
49,49.0,59,841.0,6.1838235294117645,5.505767807019332,20,6,2,0,4,0,0,0,0,6,1,0,1,0,8,11
50,50.0,63,904.0,6.647058823529412,5.127551019373473,20,6,2,0,5,0,0,0,0,7,2,0,2,0,8,11
51,51.0,67,947.0,6.764285714285714,5.072272193088538,22,6,2,0,6,0,0,0,0,7,3,0,3,0,7,11
52,52.0,68,995.0,7.107142857142857,4.872859646403053,22,7,2,0,6,0,0,0,0,7,4,0,4,0,5,11
53,53.0,70,1048.0,7.277777777777778,4.84708993990758,22,7,2,0,8,0,0,0,0,7,5,0,5,0,3,11
54,54.0,72,1101.0,7.645833333333333,4.676265674355601,23,7,2,0,8,0,0,0,0,7,6,0,4,0,4,11
55,55.0,71,1157.0,7.6118421052631575,5.135271991702119,24,7,2,0,8,0,0,0,0,7,8,0,3,0,1,11
56,56.0,73,1223.0,8.046052631578947,5.029177620036442,24,8,2,0,9,0,0,0,0,8,9,0,1,0,1,11
57,57.0,72,1294.0,8.294871794871796,5.1688629357673035,24,8,2,0,9,0,0,0,0,8,9,0,1,0,0,11
58,58.0,78,1372.0,8.794871794871796,4.953648815018888,26,8,2,0,11,0,0,0,0,8,11,0,1,0,0,11
59,59.0,79,1451.0,9.06875,4.933294732427344,26,8,2,0,11,0,0,0,0,8,12,0,1,0,0,11
60,60.0,78,1443.0,9.01875,4.784122926602748,27,8,2,0,11,0,0,0,0,9,11,0,1,0,0,9
61,61.0,78,1445.0,8.601190476190476,5.067657008600019,28,9,2,0,12,0,0,0,0,9,9,0,1,0,1,7
62,62.0,81,1459.0,8.68452380952381,4.88845482292288,28,9,3,0,13,0,0,0,0,9,9,0,2,0,3,5
63,63.0,77,1464.0,8.56140350877193,4.88723083148978,28,9,4,0,13,0,0,0,0,9,8,0,0,0,3,3
64,64.0,76,1480.0,8.654970760233919,4.755545391557846,29,9,5,0,13,0,0,0,0,9,6,0,0,0,4,1
65,65.0,79,1523.0,8.75287356321839,4.855666489904753,30,9,5,0,15,0,0,0,0,9,5,0,0,0,5,1
66,66.0,80,1592.0,9.149425287356323,4.75603667400852,31,9,5,0,15,0,0,0,0,9,4,0,0,0,6,1
67,67.0,82,1666.0,9.153846153846153,5.099156440490635,31,10,5,0,16,0,0,0,0,10,2,0,0,0,8,0
68,68.0,84,1750.0,9.722222222222221,4.854236248639942,32,10,5,0,16,0,0,0,0,10,2,0,0,0,9,0
69,69.0,84,1810.0,9.83695652173913,4.915141169327692,32,10,5,0,17,0,0,0,0,10,0,0,2,0,8,0
70,70.0,86,1882.0,10.340659340659341,4.721976539981152,33,10,5,0,18,0,0,0,0,10,0,0,2,0,8,0
71,71.0,89,1960.0,10.53763440860215,4.650647490747673,33,10,5,0,18,0,0,0,0,10,2,0,3,0,8,0
72,72.0,90,2040.0,11.027027027027026,4.498047217182236,33,11,5,0,18,0,0,0,0,11,2,0,4,0,6,0
73,73.0,93,2124.0,11.0625,4.7058226297745485,35,11,5,0,19,0,0,0,0,11,4,0,4,0,4,0
74,74.0,94,2210.0,11.510416666666666,4.554696230357221,35,11,5,0,20,0,0,0,0,11,4,0,5,1,2,0
75,75.0,97,2184.0,11.086294416243655,4.578891887834586,33,11,5,0,20,0,0,0,0,11,5,0,6,1,3,2
76,76.0,100,2167.0,11.0,4.37466722958685,32,11,5,0,21,0,0,0,0,11,8,0,6,2,1,3
77,77.0,100,2157.0,10.785,4.396181490053334,31,11,5,0,22,0,0,0,0,11,7,0,6,2,1,4
78,78.0,101,2155.0,10.775,4.2394848916026175,30,11,5,0,23,0,0,0,0,11,9,0,6,2,0,4
79,79.0,107,2167.0,10.519417475728156,4.344070068582292,28,12,6,0,23,0,0,1,0,12,11,0,6,2,0,6
80,80.0,109,2186.0,10.663414634146342,4.13760906872198,26,12,7,0,23,0,0,2,0,12,12,0,6,2,0,7
81,81.0,111,2208.0,10.770731707317074,3.952391622369403,25,12,7,0,24,0,0,3,0,12,13,0,6,2,0,7
82,82.0,115,2240.0,10.980392156862745,3.6692290251173607,23,12,8,0,25,0,0,4,0,12,15,0,6,2,1,7
83,83.0,121,2323.0,11.222222222222221,3.569232261134328,22,13,9,0,26,0,0,4,0,13,17,0,6,2,2,7
84,84.0,123,2385.0,11.577669902912621,3.335621087139437,21,13,9,0,26,0,0,4,0,13,18,0,7,0,4,8
85,85.0,125,2434.0,11.481132075471699,3.4866333240535834,19,13,9,0,27,0,0,4,0,13,19,0,8,0,4,9
86,86.0,131,2496.0,11.829383886255924,3.1253921609708,19,13,9,1,27,0,0,4,0,13,21,0,9,0,6,9
87,87.0,122,2385.0,11.144859813084112,3.0724670759081105,15,13,8,1,27,0,0,2,0,13,19,0,9,0,6,9
88,88.0,119,2326.0,10.92018779342723,2.9204644892855725,14,13,6,1,29,0,0,0,0,13,18,0,10,0,7,8
89,89.0,115,2304.0,10.666666666666666,3.0401717739830385,14,13,4,1,29,0,0,0,0,13,17,0,10,0,8,6
90,90.0,111,2259.0,10.506976744186046,3.054614326194598,13,13,2,1,29,0,0,0,0,13,16,0,9,0,10,5
91,91.0,110,2235.0,10.113122171945701,3.4639496790009914,12,14,0,2,31,0,0,0,0,14,14,0,8,0,11,4
92,92.0,107,2230.0,10.09049773755656,3.5743545932056393,11,14,0,3,31,0,0,0,0,14,12,0,6,0,12,4
93,93.0,102,2229.0,9.950892857142858,3.8241894469433375,10,14,0,5,31,0,0,0,0,14,11,0,4,0,11,2
94,94.0,98,2266.0,10.116071428571429,3.9350285711838873,11,14,0,6,31,0,0,0,0,15,9,0,2,0,10,0
95,95.0,99,2291.0,10.092511013215859,4.125337662774233,11,15,0,6,32,0,0,0,0,15,9,0,1,0,10,0
96,96.0,100,2353.0,10.365638766519824,4.1840188327357835,12,15,0,8,32,0,0,0,0,15,7,0,1,0,9,1
97,97.0,101,2418.0,10.333333333333334,4.417071690959181,13,15,0,9,33,0,0,0,0,15,6,0,1,0,8,1
98,98.0,107,2502.0,10.692307692307692,4.268306804521675,14,15,0,10,34,0,0,0,0,15,8,0,1,0,8,2
99,99.0,108,2576.0,10.915254237288135,4.110548184417618,14,15,0,10,35,0,0,0,0,15,8,0,1,0,6,4
100,100.0,111,2671.0,11.270042194092827,3.907445417640991,16,15,0,10,35,0,0,0,0,16,8,0,0,0,5,6
101,101.0,115,2767.0,11.626050420168067,3.750267285709625,18,16,0,10,36,0,0,0,0,16,7,0,2,0,4,6
102,102.0,118,2873.0,12.071428571428571,3.531658516577364,19,16,1,10,36,0,0,0,0,16,8,0,3,0,2,7
103,103.0,123,2990.0,12.254098360655737,3.550885942749281,21,16,1,10,36,0,0,0,1,16,9,0,4,0,1,8
104,104.0,130,3120.0,12.839506172839506,3.268130723632227,23,16,1,10,36,0,1,0,2,16,9,0,6,0,1,9
105,105.0,135,3244.0,13.1869918699187,3.0409675912828096,23,17,3,10,36,0,3,0,0,16,11,0,6,0,0,10
106,106.0,143,3387.0,13.824489795918367,2.637109768855139,25,17,4,10,36,0,4,0,0,17,12,0,6,0,2,10
107,107.0,147,3534.0,14.307692307692308,2.448604238166744,26,17,4,10,36,0,4,0,0,17,13,0,6,0,2,12
108,108.0,154,3641.0,14.861224489795918,2.1840380197458944,27,17,3,8,36,0,5,0,0,17,16,0,6,3,3,13
109,109.0,159,3759.0,14.97609561752988,2.289339475288578,29,17,2,6,36,0,7,0,0,17,18,0,6,3,4,14
110,110.0,157,3880.0,15.458167330677291,2.2214732284740197,30,17,0,4,36,0,7,0,0,17,18,0,6,4,4,14
111,111.0,163,4007.0,15.90079365079365,2.2013727766704583,31,17,0,2,36,0,9,0,1,17,18,0,6,3,6,17
112,112.0,165,4136.0,16.41269841269841,2.195780319059304,32,18,0,0,36,0,9,0,1,18,20,0,6,2,6,17
113,113.0,172,4305.0,16.948818897637796,2.2047101101940645,34,18,1,0,36,0,11,0,1,18,20,0,6,0,8,19
114,114.0,175,4445.0,17.5,2.1629564440871794,35,18,1,0,36,0,11,0,1,18,20,0,7,0,9,19
115,115.0,180,4595.0,17.673076923076923,2.3909958489855434,36,18,1,0,36,0,11,0,2,18,20,0,8,0,10,20
116,116.0,182,4747.0,18.25769230769231,2.3571186134585647,36,18,1,0,36,0,11,0,2,18,21,0,8,0,11,20
117,117.0,182,4856.0,18.53435114503817,2.3334211651608503,36,18,0,0,36,0,11,0,2,18,20,0,9,0,14,18
118,118.0,181,4971.0,18.97328244274809,2.3722423290658834,36,18,0,1,36,0,11,0,2,18,20,0,9,0,14,16
119,119.0,184,5090.0,19.28030303030303,2.5076652515098785,36,19,0,1,36,0,11,0,2,19,20,0,10,0,16,14
120,120.0,184,5214.0,19.75,2.5536964675355573,36,19,0,2,36,0,11,0,2,19,19,0,11,0,17,12
121,121.0,184,5339.0,19.774074074074075,2.769588299254319,36,19,0,3,36,0,11,0,2,19,18,0,12,0,18,10
122,122.0,184,5467.0,20.248148148148147,2.815263173767112,36,19,0,3,36,0,11,0,2,19,18,0,12,0,20,8
