,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_i_cr30_101,phase_i_cr30_gln,phase_i_cr30_lln,phase_i_cr30_tln
0,0.0,0,0.0,0.0,0.0,0,0,0,0
1,1.0,1,0.0,0.0,0.0,0,0,0,0
2,2.0,1,0.0,0.0,1.2519375077681616,0,0,0,0
3,3.0,1,0.0,0.0,2.281513106698791,0,0,0,0
4,4.0,1,0.0,0.0,3.216050840570824,0,0,0,0
5,5.0,1,0.0,0.0,4.243799678753129,0,0,1,0
6,6.0,1,0.0,0.0,5.300830598260897,0,0,0,0
7,7.0,1,0.0,0.0,6.289964932053616,0,0,0,0
8,8.0,1,0.0,0.0,7.274895639816532,0,0,0,0
9,9.0,1,0.0,0.0,8.27318912014986,0,0,0,1
10,10.0,2,0.0,0.0,8.469874828256918,0,0,0,0
11,11.0,1,0.0,0.0,8.994534038305048,0,0,0,0
12,12.0,1,0.0,0.0,9.731535435797724,0,0,0,0
13,13.0,1,0.0,0.0,9.764926677202308,1,0,0,0
14,14.0,1,0.0,0.0,9.69330221784983,0,0,0,0
15,15.0,1,0.0,0.0,10.107361938594533,0,0,0,0
16,16.0,1,0.0,0.0,10.31466223101071,0,0,0,0
17,17.0,2,1.0,0.05555555555555555,10.659966107427202,0,0,1,0
18,18.0,2,2.0,0.10526315789473684,11.089117628934572,0,0,1,0
19,19.0,2,3.0,0.15,10.984319760782165,0,0,1,0
20,20.0,2,4.0,0.19047619047619047,11.183334250178453,0,0,1,0
21,21.0,1,0.0,0.0,11.778560808605947,0,0,0,0
22,22.0,1,0.0,0.0,12.38339756560721,0,0,0,0
23,23.0,2,1.0,0.041666666666666664,12.735914667684156,0,0,0,1
24,24.0,1,0.0,0.0,12.953707046481302,0,0,1,0
25,25.0,1,0.0,0.0,13.203615325321268,0,0,0,0
26,26.0,1,1.0,0.038461538461538464,14.056881119294088,1,0,0,0
27,27.0,2,2.0,0.07407407407407407,14.373299856863955,1,0,0,0
28,28.0,2,3.0,0.10714285714285714,14.52414663406594,1,0,0,0
29,29.0,2,4.0,0.13793103448275862,14.807668121960834,1,0,1,0
30,30.0,2,1.0,0.03333333333333333,14.853002806961992,0,0,0,0
31,31.0,1,0.0,0.0,15.169395982754656,0,0,0,0
32,32.0,1,0.0,0.0,15.242549937615282,0,0,1,0
33,33.0,1,0.0,0.0,15.168326915572708,0,0,0,0
34,34.0,1,0.0,0.0,14.996449939133125,0,0,0,0
35,35.0,1,0.0,0.0,14.725235683787513,0,0,0,0
36,36.0,3,2.0,0.05714285714285714,14.34458171540297,1,0,1,0
37,37.0,4,4.0,0.10810810810810811,13.917637460817598,1,0,1,0
38,38.0,4,6.0,0.15789473684210525,13.71440788976211,1,0,1,0
39,39.0,2,4.0,0.10256410256410256,13.93358119110806,0,0,1,0
40,40.0,5,8.0,0.2,14.061949330660491,0,0,3,0
41,41.0,4,10.0,0.24390243902439024,14.144982713593361,0,0,3,0
42,42.0,4,13.0,0.3170731707317073,14.188525821836716,0,0,3,0
43,43.0,4,16.0,0.38095238095238093,14.05371106519343,0,0,3,0
44,44.0,5,20.0,0.46511627906976744,14.27752364765223,0,0,4,0
45,45.0,5,24.0,0.5454545454545454,14.035775808016297,0,0,4,0
46,46.0,5,29.0,0.6590909090909091,14.46738751945887,1,0,4,0
47,47.0,7,34.0,0.7391304347826086,14.039293247248393,1,0,4,0
48,48.0,4,23.0,0.48936170212765956,13.891960610334761,0,0,3,1
49,49.0,4,24.0,0.4897959183673469,13.490805106541224,0,0,2,0
50,50.0,2,26.0,0.5306122448979592,13.696276996399215,0,0,2,0
51,51.0,3,28.0,0.56,13.293952379684658,0,0,2,0
52,52.0,5,31.0,0.5961538461538461,13.018290128351232,0,0,3,1
53,53.0,5,35.0,0.660377358490566,13.278545299303286,1,0,2,1
54,54.0,5,37.0,0.6981132075471698,13.370610059380976,1,0,2,1
55,55.0,5,42.0,0.7924528301886793,13.78747942011395,2,0,2,1
56,56.0,8,47.0,0.8392857142857143,13.297316330435706,2,0,2,1
57,57.0,6,52.0,0.9122807017543859,13.289988703778096,2,0,2,1
58,58.0,6,57.0,0.9827586206896551,13.419133092192958,2,0,2,1
59,59.0,8,64.0,1.0847457627118644,13.323339443487892,3,2,2,1
60,60.0,8,72.0,1.2203389830508475,13.358339992814594,3,1,2,2
61,61.0,10,80.0,1.3114754098360655,12.88912601531793,3,2,2,2
62,62.0,9,88.0,1.4193548387096775,12.664521961966535,3,1,2,2
63,63.0,10,93.0,1.5,12.805410896807231,4,0,3,3
64,64.0,11,102.0,1.619047619047619,12.456671456189131,4,0,4,2
65,65.0,10,112.0,1.7777777777777777,12.68209900873796,5,0,3,2
66,66.0,12,123.0,1.921875,12.826240865672776,6,0,3,2
67,67.0,13,135.0,2.076923076923077,13.018966052658618,6,0,4,2
68,68.0,13,147.0,2.227272727272727,13.035867651483324,6,0,3,2
69,69.0,13,159.0,2.373134328358209,13.082668025991222,6,1,3,2
70,70.0,14,172.0,2.5294117647058822,13.074482346807951,7,0,3,2
71,71.0,14,186.0,2.735294117647059,13.419701815522112,8,0,3,2
72,72.0,14,163.0,2.36231884057971,13.548724402067972,8,0,2,2
73,73.0,13,135.0,1.9014084507042253,13.34905792888647,8,0,1,2
74,74.0,11,134.0,1.8611111111111112,13.348174730826678,8,1,0,2
75,75.0,11,144.0,1.9726027397260273,13.290157682022738,8,0,0,2
76,76.0,12,154.0,2.081081081081081,12.921931530925761,8,0,0,3
77,77.0,11,164.0,2.1866666666666665,12.665029365019851,8,0,0,2
78,78.0,12,175.0,2.3333333333333335,12.126332281990635,8,0,2,2
79,79.0,12,186.0,2.547945205479452,11.844547456467497,8,0,1,2
80,80.0,13,198.0,2.712328767123288,11.782222410698274,8,0,2,2
81,81.0,15,207.0,2.875,11.263548881073351,9,0,2,3
82,82.0,15,220.0,3.0136986301369864,11.414938059718,9,1,1,3
83,83.0,14,233.0,3.236111111111111,11.628548269639602,9,1,0,4
84,84.0,14,247.0,3.4788732394366195,11.589609944646336,9,1,0,4
85,85.0,17,262.0,3.589041095890411,11.400349608040228,10,1,0,4
