,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,13.5194875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,12.689213089687005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,12.968364716486185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,13.367349055294993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,13.173705681646112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,13.070357630157247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,13.266757431773636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,12.954285638620158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,12.979791506392973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,12.865133898231127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.473314808732201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,12.339078911448691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,0,0.0,0.0,12.534472193513999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,1,1.0,0.025,12.16130942276488,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15.0,1,2.0,0.045454545454545456,12.333740789232753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16.0,2,4.0,0.09090909090909091,12.04190503116655,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17.0,2,6.0,0.125,12.040261994763739,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18.0,2,8.0,0.16666666666666666,11.649412882941727,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19.0,3,11.0,0.19642857142857142,11.629559296558027,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20.0,4,15.0,0.26785714285714285,11.325696407683312,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,21.0,5,20.0,0.3333333333333333,11.405799760833586,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
22,22.0,6,26.0,0.43333333333333335,11.046785344953378,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
23,23.0,7,33.0,0.515625,10.71674373609051,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
24,24.0,8,41.0,0.640625,10.007393475092327,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
25,25.0,11,52.0,0.7222222222222222,9.845814260026597,7,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
26,26.0,12,64.0,0.8888888888888888,9.26953264523457,7,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0
27,27.0,16,80.0,1.0526315789473684,9.27022129500504,8,1,0,0,0,0,0,0,1,3,1,1,0,0,0,1
28,28.0,21,101.0,1.3289473684210527,8.78000530331612,9,1,0,0,0,2,0,0,1,3,1,1,1,0,0,2
29,29.0,21,122.0,1.525,8.54875229819265,9,1,0,0,0,2,0,0,1,3,1,1,1,0,0,2
30,30.0,18,113.0,1.4125,8.131971186988817,9,0,0,0,0,2,0,0,0,1,1,1,1,0,0,3
31,31.0,19,126.0,1.4318181818181819,8.235014416434948,10,0,0,0,0,2,0,0,0,0,1,2,1,0,0,3
32,32.0,22,148.0,1.6818181818181819,8.058523774779104,11,0,0,0,0,3,0,0,0,0,1,2,2,0,0,3
33,33.0,24,172.0,1.8695652173913044,8.064769814191129,11,0,0,0,0,3,0,0,0,0,1,2,2,0,0,5
34,34.0,27,199.0,2.1630434782608696,8.028016987917566,12,0,0,0,0,4,0,0,0,0,2,2,2,0,0,5
35,35.0,29,228.0,2.375,8.073884785002315,12,0,0,0,0,5,0,0,0,0,2,2,2,0,0,6
36,36.0,31,259.0,2.6979166666666665,7.797369992165962,13,0,0,0,0,6,0,0,0,0,2,2,2,0,0,6
37,37.0,33,292.0,2.8076923076923075,8.10520708742921,13,0,0,0,0,7,0,0,0,0,3,2,2,0,0,6
38,38.0,37,329.0,3.1634615384615383,7.8553318488625,14,0,0,0,0,8,0,0,0,0,3,2,2,0,0,8
39,39.0,38,367.0,3.3981481481481484,7.830239692076632,15,0,0,0,0,8,0,0,0,0,3,2,2,0,0,8
40,40.0,38,405.0,3.75,7.487356001139435,15,0,0,0,0,8,0,0,0,0,3,2,2,0,0,8
