,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,14.5390525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,13.930715463619457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,13.403137976367475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,13.784848553456191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,13.876100748180376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,13.727140354530615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,13.856000816174982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,13.596028707206463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,13.136711255521133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,12.677359605334058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.448548536392451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,12.203545789043002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,1,1.0,0.025,12.454062346034522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,14.0,2,3.0,0.075,12.36082984653945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,15.0,2,5.0,0.11363636363636363,12.145648069298481,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,16.0,2,7.0,0.1590909090909091,11.689281684227483,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,17.0,3,10.0,0.20833333333333334,11.476429306087526,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,18.0,6,16.0,0.3333333333333333,11.159015120300126,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
19,19.0,6,22.0,0.39285714285714285,10.998648496611342,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
20,20.0,7,29.0,0.5178571428571429,10.725429751638606,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
21,21.0,9,38.0,0.6333333333333333,10.662716813010977,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
22,22.0,10,48.0,0.8,10.185819496006312,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
23,23.0,10,58.0,0.90625,9.786623680319588,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
24,24.0,11,69.0,1.078125,8.997599524308036,6,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
25,25.0,12,81.0,1.125,9.003640798634775,6,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
26,26.0,14,95.0,1.3194444444444444,8.281078411101163,6,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0
27,27.0,18,113.0,1.486842105263158,8.33794947343131,7,2,0,0,0,2,0,0,0,0,0,0,0,0,7,0
28,28.0,20,133.0,1.75,7.96929148315654,7,2,0,0,0,3,0,0,0,0,1,0,0,0,7,0
29,29.0,25,158.0,1.975,7.972452983122198,9,2,0,0,0,3,0,0,0,0,1,1,1,0,8,0
30,30.0,26,184.0,2.3,7.635192482039329,9,2,0,0,0,3,0,0,0,0,1,1,1,0,9,0
31,31.0,29,213.0,2.4204545454545454,7.767353756623883,9,2,0,0,0,5,0,0,0,0,1,1,1,0,10,0
32,32.0,33,246.0,2.7954545454545454,7.31146802600123,11,3,0,0,0,5,0,0,0,0,1,1,2,0,10,0
33,33.0,33,279.0,3.032608695652174,7.362055277187902,11,3,0,0,0,5,0,0,0,0,1,1,2,0,10,0
34,34.0,35,314.0,3.4130434782608696,7.0653043577829155,11,3,0,0,0,5,0,0,0,0,2,1,2,0,11,0
35,35.0,37,351.0,3.65625,7.032463832533423,12,3,0,0,0,5,0,0,0,0,2,1,2,0,12,0
36,36.0,39,349.0,3.6354166666666665,6.708058127018037,13,3,0,0,0,7,0,0,0,0,2,1,2,0,11,0
37,37.0,37,350.0,3.3653846153846154,7.072258727081165,13,3,0,0,0,7,0,0,0,0,2,1,2,0,9,0
38,38.0,38,363.0,3.4903846153846154,6.726607886805524,14,3,0,0,0,7,0,0,0,0,3,1,2,0,8,0
39,39.0,35,334.0,3.0925925925925926,6.709541165605099,14,4,0,0,0,5,0,0,0,0,3,1,1,0,7,0
40,40.0,31,328.0,3.037037037037037,6.517500346123203,15,4,0,0,0,3,0,0,0,0,3,1,0,0,5,0
41,41.0,30,328.0,2.9285714285714284,6.7004830776439706,16,4,0,0,0,2,0,0,0,0,3,1,1,0,3,0
42,42.0,30,340.0,3.0357142857142856,6.687529898157881,17,4,0,1,0,1,0,0,0,0,3,1,1,0,2,0
43,43.0,29,363.0,3.025,7.223827328119929,17,4,0,1,0,0,0,0,0,0,4,1,1,0,1,0
44,44.0,31,392.0,3.2666666666666666,7.136541857925112,17,4,0,2,0,0,0,0,0,0,4,1,2,0,1,0
45,45.0,31,422.0,3.403225806451613,7.281874967386101,18,4,0,2,0,0,0,0,0,0,4,1,2,0,0,0
46,46.0,36,458.0,3.693548387096774,7.12092084615203,19,5,0,2,0,0,0,0,0,0,4,1,3,0,2,0
47,47.0,39,497.0,3.8828125,7.131774629672061,20,5,0,3,0,0,0,0,0,0,4,1,3,0,3,0
48,48.0,41,538.0,4.203125,6.818964190594186,20,5,0,3,0,0,0,0,0,0,4,1,4,1,3,0
49,49.0,45,583.0,4.286764705882353,6.839270524871866,20,5,0,3,0,1,0,0,0,0,4,1,5,1,5,0
50,50.0,48,631.0,4.639705882352941,6.445908327992799,21,5,0,3,0,2,0,0,0,0,4,1,5,2,5,0
51,51.0,50,641.0,4.578571428571428,6.29778651002672,22,5,0,3,0,3,0,0,0,0,2,1,5,2,7,0
52,52.0,52,670.0,4.785714285714286,5.894513637508649,22,5,0,3,0,5,0,0,0,0,0,1,6,2,8,0
53,53.0,58,728.0,5.055555555555555,5.797553098498117,24,6,0,3,0,6,0,0,0,0,0,1,7,2,9,0
54,54.0,60,755.0,5.243055555555555,5.46715107865197,24,6,1,3,0,6,0,0,0,0,2,1,6,0,11,0
55,55.0,60,800.0,5.2631578947368425,5.598173340164372,24,7,1,3,0,7,0,0,0,0,2,1,4,0,11,0
56,56.0,64,852.0,5.605263157894737,5.300944628007862,24,7,3,3,0,9,0,0,0,0,3,1,2,0,12,0
57,57.0,65,891.0,5.711538461538462,5.355293492169788,25,7,3,3,0,10,0,0,0,0,3,1,1,0,12,0
58,58.0,69,936.0,6.0,5.165121891667602,26,7,5,3,0,10,0,0,0,0,4,1,1,0,12,0
59,59.0,71,988.0,6.175,5.224027602642272,27,7,5,3,0,11,2,0,0,0,4,1,0,1,10,0
60,60.0,71,978.0,6.1125,5.0247073976735726,27,7,6,3,0,11,2,0,0,0,3,1,0,1,10,0
61,61.0,66,1002.0,5.964285714285714,5.291662907637864,27,8,6,3,0,9,2,0,0,0,1,1,0,1,8,0
62,62.0,65,1032.0,6.142857142857143,5.053376864105094,28,8,6,3,0,8,2,0,0,0,1,1,0,1,7,0
63,63.0,62,1063.0,6.180232558139535,5.092858339513491,28,8,6,4,0,6,2,0,0,0,1,1,0,0,6,0
64,64.0,66,1102.0,6.406976744186046,5.013769282120745,29,8,6,5,1,4,2,0,0,0,1,2,2,0,5,1
65,65.0,66,1147.0,6.517045454545454,5.169986846745235,30,8,6,5,2,3,2,0,0,0,1,2,2,0,4,1
66,66.0,66,1197.0,6.801136363636363,5.07982813260102,31,8,6,5,2,1,2,0,0,0,1,2,4,0,3,1
67,67.0,66,1256.0,6.826086956521739,5.386412345591085,31,8,6,5,2,0,2,0,0,0,2,2,5,0,2,1
68,68.0,69,1322.0,7.224043715846994,5.232293962623442,31,9,6,5,2,0,2,0,0,0,2,2,6,0,3,1
69,69.0,73,1375.0,7.39247311827957,5.361861079472237,33,9,6,5,3,0,2,0,0,0,2,0,8,1,4,0
70,70.0,74,1445.0,7.768817204301075,5.350502786716886,33,9,6,5,4,0,2,0,0,0,2,0,8,2,3,0
71,71.0,75,1518.0,7.989473684210527,5.412617762063573,33,9,6,5,5,0,2,0,0,0,2,0,9,2,2,0
72,72.0,69,1525.0,8.026315789473685,5.41962162501981,33,9,6,5,3,0,0,0,0,0,2,0,7,2,2,0
73,73.0,67,1569.0,7.964467005076142,5.722238117635109,35,10,6,5,1,0,0,0,0,0,2,0,5,0,3,0
74,74.0,69,1622.0,8.233502538071066,5.725314438789498,36,10,6,5,0,2,0,0,0,0,2,0,3,0,5,0
75,75.0,70,1680.0,8.4,5.7314091872152995,36,10,7,5,0,2,0,0,0,0,2,0,2,0,6,0
76,76.0,71,1746.0,8.73,5.68117242566875,36,10,7,5,0,3,0,0,0,0,2,0,1,0,7,0
77,77.0,74,1820.0,9.009900990099009,5.743191921624144,36,10,7,5,0,4,0,0,0,0,2,0,1,0,9,0
78,78.0,79,1899.0,9.400990099009901,5.719767664259957,36,10,8,6,0,5,0,0,0,0,2,0,1,0,10,1
79,79.0,81,1980.0,9.473684210526315,6.038803073362936,36,10,8,7,0,6,0,0,0,0,2,0,1,0,10,1
80,80.0,85,2065.0,9.97584541062802,5.8089409721963525,36,11,8,8,0,7,0,0,0,0,2,0,1,0,11,1
81,81.0,85,2097.0,9.985714285714286,5.800015079710352,36,11,8,8,0,7,0,0,0,0,2,0,0,0,12,1
82,82.0,86,2170.0,10.432692307692308,5.508684354116588,36,11,8,9,0,6,0,0,0,0,0,0,1,0,14,1
83,83.0,89,2250.0,10.663507109004739,5.454928520449257,36,11,8,9,2,4,0,0,0,0,0,0,2,1,15,1
84,84.0,90,2327.0,11.028436018957345,5.24714916194789,36,12,8,9,3,2,0,0,0,0,1,0,2,1,16,0
85,85.0,94,2414.0,11.073394495412844,5.38335759710808,36,12,8,9,4,0,0,0,0,0,1,0,3,2,18,1
86,86.0,97,2511.0,11.625,5.131559500843274,36,12,8,9,4,0,1,0,0,0,1,0,3,2,20,1
87,87.0,97,2575.0,11.811926605504587,5.092481547511268,36,12,8,9,4,0,1,0,0,0,1,0,3,2,20,1
88,88.0,105,2648.0,12.202764976958525,4.932832149154744,36,12,8,9,7,0,1,1,0,0,3,0,5,2,20,1
89,89.0,106,2727.0,12.452054794520548,4.762159000099352,36,12,8,9,7,0,1,2,0,0,3,0,6,2,19,1
90,90.0,102,2765.0,12.741935483870968,4.502616251780661,36,13,8,9,6,0,1,2,0,0,1,0,6,2,17,1
91,91.0,99,2813.0,12.614349775784753,4.55488343379088,36,13,8,9,6,0,1,3,0,0,1,0,4,2,15,1
92,92.0,99,2873.0,12.941441441441441,4.39630185996335,36,13,8,9,4,2,1,4,0,0,1,0,3,2,15,1
93,93.0,97,2928.0,13.013333333333334,4.4340858321148975,36,13,8,9,2,4,1,5,0,0,1,0,2,2,14,0
94,94.0,95,2994.0,13.306666666666667,4.42382477991451,36,13,8,9,1,4,1,6,0,0,1,0,1,2,13,0
