,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_i_cr30_101,phase_i_cr30_gln,phase_i_cr30_lln,phase_i_cr30_tln
0,0.0,0,0.0,0.0,0.0,0,0,0,0
1,1.0,1,0.0,0.0,0.0,0,0,0,0
2,2.0,1,0.0,0.0,0.7615178359672428,0,0,0,0
3,3.0,1,0.0,0.0,1.6632376522369061,0,0,0,0
4,4.0,1,0.0,0.0,2.6692221845441964,0,0,0,0
5,5.0,1,0.0,0.0,3.626212316332385,0,0,1,0
6,6.0,1,0.0,0.0,4.588788479597619,0,0,0,0
7,7.0,1,0.0,0.0,5.688055900015336,0,0,0,0
8,8.0,1,0.0,0.0,6.741923626876087,0,0,0,0
9,9.0,1,0.0,0.0,7.762104687200757,0,0,0,1
10,10.0,2,0.0,0.0,8.097425935552879,0,0,0,0
11,11.0,1,0.0,0.0,9.142258443142053,0,0,0,0
12,12.0,1,0.0,0.0,9.623902172340024,0,0,0,0
13,13.0,1,0.0,0.0,9.81731839008225,1,0,0,0
14,14.0,1,0.0,0.0,9.689764451180428,0,0,0,0
15,15.0,1,0.0,0.0,10.051282106112225,0,0,0,0
16,16.0,1,0.0,0.0,10.184934894448357,0,0,0,0
17,17.0,1,0.0,0.0,10.287020344186061,0,0,0,0
18,18.0,2,1.0,0.05263157894736842,10.535773582821427,0,0,1,0
19,19.0,2,2.0,0.1,10.904258444511592,0,0,1,0
20,20.0,2,3.0,0.14285714285714285,11.388720406362816,0,0,1,0
21,21.0,2,4.0,0.18181818181818182,11.757388293146164,0,0,1,0
22,22.0,2,5.0,0.21739130434782608,11.927591726874143,0,0,1,0
23,23.0,2,6.0,0.25,12.21417556809245,0,0,1,0
24,24.0,2,7.0,0.28,12.40774079783587,0,0,2,0
25,25.0,2,8.0,0.3076923076923077,12.884908123503454,0,0,1,0
26,26.0,1,9.0,0.34615384615384615,13.613578207466658,0,0,1,0
27,27.0,3,11.0,0.4074074074074074,13.817343512002466,0,1,1,0
28,28.0,3,13.0,0.4642857142857143,14.001376573201787,0,1,1,0
29,29.0,3,15.0,0.5172413793103449,13.8475052608196,0,1,2,0
30,30.0,3,17.0,0.5666666666666667,13.432118132030924,0,1,1,0
31,31.0,5,21.0,0.6774193548387096,13.389746800495233,0,2,1,0
32,32.0,4,23.0,0.71875,13.31027408969032,0,2,2,0
33,33.0,4,26.0,0.7878787878787878,13.003688616221638,0,2,1,0
34,34.0,5,30.0,0.8823529411764706,12.924477993217387,1,2,1,0
35,35.0,5,34.0,0.9714285714285714,12.767387802474877,1,2,1,0
36,36.0,5,38.0,1.0555555555555556,12.313811066454072,1,2,1,0
37,37.0,7,43.0,1.131578947368421,11.66393423705314,1,2,2,0
38,38.0,8,49.0,1.225,11.277488956036965,1,3,2,0
39,39.0,8,56.0,1.3658536585365855,11.472843979880635,1,3,3,0
40,40.0,10,65.0,1.5476190476190477,11.610113380610319,1,3,4,0
41,41.0,10,73.0,1.697674418604651,11.834634201751832,1,3,4,1
42,42.0,10,82.0,1.9069767441860466,11.820763520462933,1,3,4,1
43,43.0,11,92.0,2.090909090909091,11.815780974675674,1,3,5,1
44,44.0,11,102.0,2.2666666666666666,11.928729168205763,1,3,5,1
45,45.0,11,112.0,2.4347826086956523,11.997514852008615,1,3,5,1
46,46.0,11,123.0,2.6739130434782608,12.102929830382992,1,3,6,1
47,47.0,13,134.0,2.7916666666666665,11.780746436251656,1,3,6,1
48,48.0,13,145.0,2.9,11.629507937270057,1,3,6,2
49,49.0,13,157.0,3.0784313725490198,11.585229138452647,2,3,6,1
50,50.0,12,169.0,3.3137254901960786,11.849429354149954,2,3,6,1
51,51.0,11,161.0,3.0961538461538463,11.647159808083284,2,3,5,0
52,52.0,12,171.0,3.1666666666666665,11.338888427090668,2,3,6,0
53,53.0,13,183.0,3.327272727272727,11.589430332687046,3,3,6,0
54,54.0,13,195.0,3.482142857142857,11.597809432362416,3,3,6,0
55,55.0,12,207.0,3.6964285714285716,11.842491229056277,3,3,6,0
56,56.0,14,219.0,3.7758620689655173,11.600396245262138,3,3,6,0
57,57.0,17,234.0,3.9,11.27007488925621,4,3,6,1
58,58.0,16,249.0,4.081967213114754,11.06307288382762,4,3,6,1
59,59.0,17,265.0,4.274193548387097,10.825842087290527,5,4,6,1
60,60.0,16,281.0,4.532258064516129,10.67050016964886,5,3,6,1
61,61.0,18,293.0,4.578125,10.227792698527995,6,4,6,1
62,62.0,17,309.0,4.753846153846154,10.014103529730251,6,3,6,1
63,63.0,21,329.0,4.984848484848484,9.979973629343192,7,3,8,3
64,64.0,23,350.0,5.147058823529412,9.742952002276525,8,3,9,2
65,65.0,21,371.0,5.455882352941177,9.837154938959728,8,3,8,2
66,66.0,23,393.0,5.695652173913044,9.798953857639278,8,4,8,2
67,67.0,24,416.0,5.942857142857143,9.681454624343074,9,4,9,2
68,68.0,24,439.0,6.183098591549296,9.644220993723332,9,4,8,2
69,69.0,25,457.0,6.436619718309859,9.241243152620182,10,5,9,1
70,70.0,26,482.0,6.788732394366197,8.833411954243864,10,4,10,1
71,71.0,27,509.0,7.169014084507042,8.85081427152576,10,5,11,1
72,72.0,29,537.0,7.563380281690141,8.37176658347335,10,6,11,1
73,73.0,32,567.0,7.767123287671233,8.155791225976579,11,6,11,2
74,74.0,32,598.0,8.08108108108108,7.97542115723709,12,7,11,2
75,75.0,33,630.0,8.4,7.88320684862651,12,7,11,2
76,76.0,35,663.0,8.61038961038961,7.5911755963509915,12,7,11,4
77,77.0,34,697.0,9.051948051948052,7.4261871192746405,12,7,12,3
78,78.0,35,724.0,9.402597402597403,7.03256216248689,12,7,14,2
79,79.0,38,759.0,9.60759493670886,6.908823016106198,12,8,15,1
80,80.0,37,795.0,9.9375,7.014815323046707,12,8,15,1
81,81.0,39,832.0,10.146341463414634,7.009864539266946,12,8,17,1
82,82.0,38,869.0,10.46987951807229,7.126884846643027,12,8,16,1
83,83.0,39,908.0,10.939759036144578,7.456579814339928,12,8,18,1
84,84.0,40,948.0,11.421686746987952,7.550981222828153,12,8,19,1
85,85.0,42,988.0,11.623529411764705,7.428613149089243,12,8,19,1
