,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,14.728613750000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,14.440078649918068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,14.036144908229758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,13.817348584617427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,13.760459389257804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,13.309673491085043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,14.12139888971535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,13.859837024992208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,13.836931375900027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,13.186961775221421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.524134293402966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,11.720703731286036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,0,0.0,0.0,11.932362888134733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,3,3.0,0.075,11.436701610975446,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
15,15.0,4,7.0,0.1590909090909091,11.423946988712531,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
16,16.0,5,12.0,0.2727272727272727,11.068922618849562,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
17,17.0,6,18.0,0.375,10.72967557354415,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0
18,18.0,7,25.0,0.5208333333333334,10.256725001609935,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0
19,19.0,8,33.0,0.5892857142857143,10.358950408107344,1,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0
20,20.0,12,45.0,0.8035714285714286,10.119120008381978,2,2,0,0,0,0,0,0,2,2,4,0,0,0,0,0
21,21.0,9,38.0,0.6333333333333333,10.3342634575756,2,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0
22,22.0,10,48.0,0.8,9.996418618609928,2,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0
23,23.0,10,58.0,0.90625,10.070138512344311,2,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0
24,24.0,11,69.0,1.078125,9.835426338793887,2,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0
25,25.0,11,80.0,1.1111111111111112,10.117826394406784,2,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0
26,26.0,13,93.0,1.2916666666666667,9.862234257185621,2,1,0,0,0,0,0,0,0,2,8,0,0,0,0,0
27,27.0,12,83.0,1.0921052631578947,10.056432528757556,3,1,0,0,0,0,0,0,0,2,6,0,0,0,0,0
28,28.0,12,76.0,1.0,9.81584489381911,3,1,0,0,0,0,0,0,0,3,5,0,0,0,0,0
29,29.0,11,72.0,0.9,9.867019398284022,3,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0
30,30.0,8,65.0,0.8125,9.719548484592195,3,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
31,31.0,7,68.0,0.7727272727272727,10.066696051875413,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
32,32.0,6,73.0,0.8295454545454546,10.142442269352005,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
33,33.0,8,81.0,0.8804347826086957,10.200937312351543,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
34,34.0,9,90.0,0.9782608695652174,10.13408156223427,4,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
35,35.0,9,99.0,1.03125,10.109670188305223,4,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
36,36.0,11,110.0,1.1458333333333333,9.86631253850326,4,1,0,0,0,1,0,0,0,4,0,0,1,0,0,0
37,37.0,12,122.0,1.1730769230769231,9.942422794147895,4,1,0,0,0,1,0,0,0,4,1,0,1,0,0,0
38,38.0,16,138.0,1.3269230769230769,9.550921434767758,5,1,0,0,0,1,0,0,0,5,2,0,2,0,0,0
39,39.0,19,157.0,1.4537037037037037,9.440031069197854,5,2,0,0,0,2,0,0,0,5,3,0,2,0,0,0
40,40.0,21,178.0,1.6481481481481481,9.046424336839147,5,2,0,0,0,3,0,0,0,5,4,0,2,0,0,0
41,41.0,25,203.0,1.8125,8.78836546500987,5,2,0,0,0,3,0,0,0,5,6,0,4,0,0,0
42,42.0,26,173.0,1.5446428571428572,8.280588071084962,5,2,0,0,0,2,0,0,0,3,7,1,4,0,2,0
43,43.0,26,170.0,1.4166666666666667,8.06781291630883,5,3,0,0,0,1,0,0,0,1,8,1,4,0,3,0
44,44.0,27,187.0,1.5583333333333333,7.646468184806805,5,3,0,0,1,0,0,0,0,0,8,3,4,0,3,0
45,45.0,34,221.0,1.782258064516129,7.407749610142245,6,3,0,0,2,0,0,0,1,0,10,4,4,0,4,0
46,46.0,37,258.0,2.0806451612903225,6.935798641184541,6,3,0,0,2,0,0,0,1,0,12,5,4,0,4,0
47,47.0,41,299.0,2.3359375,6.77701239814329,6,3,0,1,4,0,0,1,1,0,12,5,4,0,4,0
48,48.0,42,329.0,2.5703125,6.482399638328414,6,3,0,1,5,0,0,1,1,0,13,5,4,0,3,0
49,49.0,45,364.0,2.676470588235294,6.801726808647788,6,3,1,2,5,0,0,1,1,0,13,6,4,0,1,2
50,50.0,53,415.0,3.051470588235294,6.659725717863732,7,4,2,3,5,0,0,2,2,0,14,6,4,0,1,3
51,51.0,49,414.0,2.9571428571428573,6.7849198594231925,7,2,4,3,3,0,0,2,0,0,15,6,4,0,0,3
52,52.0,48,441.0,3.15,6.671399056647848,7,0,4,3,1,0,0,2,0,1,16,6,5,0,0,3
53,53.0,47,483.0,3.3541666666666665,6.67422301217881,7,0,4,3,0,0,0,2,0,1,16,6,5,0,0,3
54,54.0,47,509.0,3.5347222222222223,6.4433662843643,7,2,5,1,0,0,0,2,0,1,17,6,5,0,0,1
55,55.0,46,544.0,3.5789473684210527,6.760876719916135,7,2,5,0,0,0,0,3,0,1,17,6,5,0,0,0
56,56.0,51,595.0,3.914473684210526,6.810148040593676,8,2,5,0,0,0,0,3,2,2,18,6,5,0,0,0
57,57.0,54,649.0,4.160256410256411,6.944188767504542,8,2,5,0,0,0,0,5,3,2,18,6,5,0,0,0
58,58.0,56,705.0,4.519230769230769,6.814685384828536,8,2,5,0,0,0,0,5,3,2,19,6,5,1,0,0
59,59.0,59,764.0,4.775,6.820464139129797,8,2,5,0,0,0,0,5,4,2,20,6,5,2,0,0
60,60.0,51,680.0,4.25,6.737932139184657,9,0,4,0,0,0,0,3,4,2,18,4,5,2,0,0
61,61.0,47,621.0,3.6964285714285716,7.080598612503769,9,0,2,0,0,0,0,1,5,3,17,2,5,3,0,0
62,62.0,42,577.0,3.4345238095238093,7.067090705954445,9,0,1,0,0,0,0,0,5,3,15,0,5,4,0,0
63,63.0,38,465.0,2.703488372093023,7.417645507733718,7,1,0,0,0,0,0,0,6,1,13,0,5,5,0,0
64,64.0,34,390.0,2.280701754385965,7.469192047558854,5,1,0,0,0,0,0,0,6,0,12,0,5,5,0,0
65,65.0,34,339.0,1.937142857142857,7.736974148135666,4,1,0,0,0,0,0,0,7,0,11,0,5,6,0,0
