,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,13.304385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,13.226926253524832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,12.81506323963923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,13.188842131055184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,13.358038241722909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,13.429423116983902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,13.342266372699891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,13.100604327262133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,13.3280915373539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,12.86624552338524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.81647524135283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,12.189416838015585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,1,1.0,0.025,11.982902285990974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,1,2.0,0.05,11.187114402017812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15.0,3,5.0,0.11363636363636363,10.975157702174537,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
16,16.0,3,8.0,0.18181818181818182,10.641380577879117,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
17,17.0,5,13.0,0.2708333333333333,10.895024908831509,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
18,18.0,6,19.0,0.3958333333333333,10.630483628825866,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
19,19.0,7,26.0,0.4642857142857143,10.890532036531358,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
20,20.0,8,34.0,0.6071428571428571,10.661020574702585,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
21,21.0,9,43.0,0.7166666666666667,10.550207732843962,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
22,22.0,9,52.0,0.8666666666666667,10.24764179613947,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
23,23.0,10,62.0,0.96875,9.915382236989402,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
24,24.0,11,73.0,1.140625,9.18564626765648,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
25,25.0,13,86.0,1.1944444444444444,9.052474379375626,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
26,26.0,15,101.0,1.4027777777777777,8.327093089557033,7,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0
27,27.0,20,121.0,1.5921052631578947,8.059616232118524,7,0,0,0,8,0,0,0,0,0,2,0,1,1,1,0
28,28.0,23,144.0,1.894736842105263,7.265579779257079,8,0,0,0,8,0,0,0,1,0,2,0,1,1,2,0
29,29.0,27,171.0,2.1375,6.652297695809999,9,0,0,0,9,0,0,0,1,0,3,0,1,1,2,1
30,30.0,26,189.0,2.3625,6.2212460188426935,9,0,0,0,9,0,0,0,0,0,3,0,0,0,4,1
31,31.0,31,220.0,2.5,6.579710060798607,10,0,0,0,10,0,0,0,0,0,3,0,0,0,5,3
32,32.0,32,252.0,2.8636363636363638,6.301142740853742,10,0,0,0,11,0,0,0,0,0,3,0,0,0,5,3
33,33.0,31,241.0,2.619565217391304,6.618719461722398,11,0,0,0,9,0,0,0,0,0,4,0,0,0,5,2
34,34.0,32,237.0,2.5760869565217392,6.34917074940288,12,0,0,0,9,0,0,0,0,0,5,0,0,0,6,0
35,35.0,32,244.0,2.5416666666666665,6.600875061848893,13,0,0,0,7,0,0,0,0,0,5,1,0,0,6,0
36,36.0,30,236.0,2.4583333333333335,6.541090155821903,13,0,0,0,6,0,0,0,0,0,5,1,0,0,5,0
37,37.0,28,236.0,2.269230769230769,7.16469875919771,13,0,0,0,4,0,0,0,0,0,7,1,0,0,3,0
38,38.0,29,244.0,2.3461538461538463,7.155263856465917,15,0,0,0,3,0,0,0,0,0,7,2,0,0,2,0
39,39.0,24,227.0,2.1018518518518516,7.43480656002244,15,0,0,0,1,0,0,0,0,0,6,0,0,0,1,1
40,40.0,21,227.0,2.1018518518518516,7.40083983910552,15,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1
41,41.0,19,235.0,2.0982142857142856,7.548900086143214,15,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1
42,42.0,20,247.0,2.205357142857143,7.393091202531068,17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
43,43.0,22,268.0,2.2333333333333334,7.669555044895687,17,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1
44,44.0,24,292.0,2.433333333333333,7.415331517998675,18,0,1,0,2,0,0,0,1,0,0,0,0,0,1,1
45,45.0,25,306.0,2.467741935483871,7.379622849769555,18,0,1,0,4,0,0,0,1,0,0,0,0,1,0,0
46,46.0,30,336.0,2.7096774193548385,7.148336377168164,19,0,1,0,4,0,0,0,1,0,1,0,1,1,2,0
47,47.0,33,369.0,2.8828125,7.083841782142035,19,0,1,0,5,0,0,0,2,0,1,0,2,1,2,0
48,48.0,33,394.0,3.078125,6.868672484627908,19,0,2,0,6,0,0,0,0,0,0,0,2,1,3,0
49,49.0,38,432.0,3.176470588235294,7.032151823751396,21,0,2,0,7,0,0,0,0,0,1,0,2,1,4,0
50,50.0,43,475.0,3.4926470588235294,6.57957758349654,21,0,2,0,9,0,0,0,0,0,2,0,2,2,5,0
51,51.0,42,484.0,3.4571428571428573,6.435972924034198,21,0,0,0,8,0,0,0,0,0,4,0,2,0,7,0
52,52.0,43,513.0,3.664285714285714,6.015816207442053,21,0,1,0,7,1,0,0,0,0,4,0,2,0,7,0
53,53.0,51,553.0,3.8402777777777777,5.92056888617056,23,0,1,0,6,2,0,0,0,0,6,0,2,0,9,2
54,54.0,51,580.0,4.027777777777778,5.674068336239643,23,0,1,0,6,3,0,0,0,0,6,0,0,1,9,2
55,55.0,55,627.0,4.125,5.89168481272773,23,0,1,0,6,3,0,0,0,0,8,0,0,1,10,3
56,56.0,60,679.0,4.467105263157895,5.720741959228979,24,0,2,0,5,3,0,0,0,0,9,0,0,2,11,4
57,57.0,55,682.0,4.371794871794871,5.896060662705883,25,0,2,0,2,3,0,0,0,0,8,0,0,2,10,3
58,58.0,52,690.0,4.423076923076923,5.792391420436266,25,0,2,0,2,3,0,0,0,0,7,0,0,3,8,2
59,59.0,49,705.0,4.40625,6.0384402695390715,26,0,2,0,2,3,0,0,0,0,7,0,0,3,6,0
60,60.0,47,711.0,4.44375,5.939794979684509,27,0,2,0,1,1,0,0,0,0,5,1,0,5,5,0
61,61.0,47,728.0,4.333333333333333,6.4016322437596855,28,0,2,0,2,0,0,0,0,0,4,1,0,5,5,0
62,62.0,47,760.0,4.523809523809524,6.445245349691163,28,0,2,0,2,0,0,0,0,0,3,2,0,6,3,1
63,63.0,37,748.0,4.4,6.7803217206759445,28,0,0,0,2,0,0,0,0,0,1,0,0,4,1,1
64,64.0,40,778.0,4.576470588235294,6.877367784193243,29,0,0,3,2,0,0,0,0,0,1,0,0,2,2,1
65,65.0,39,805.0,4.626436781609195,7.019791370913588,29,0,0,3,2,0,0,0,0,0,2,0,0,0,2,1
66,66.0,38,831.0,4.775862068965517,6.895125079896901,30,0,0,3,3,1,0,0,0,0,0,0,0,0,0,1
67,67.0,41,872.0,4.81767955801105,6.947940315416909,30,0,0,3,3,2,0,0,0,0,1,0,0,0,1,1
68,68.0,46,918.0,5.071823204419889,6.811137334669219,31,0,0,3,3,2,1,0,0,0,3,0,0,0,2,1
69,69.0,55,955.0,5.162162162162162,6.727859272020381,32,0,0,3,1,3,2,1,1,0,5,0,2,0,4,1
70,70.0,56,1007.0,5.4728260869565215,6.5250190309955505,33,0,0,3,0,3,2,1,1,0,6,0,2,0,4,1
71,71.0,60,1067.0,5.675531914893617,6.40039579719798,33,0,0,3,1,3,2,1,1,0,7,0,3,0,5,1
72,72.0,66,1133.0,6.026595744680851,6.199169428738955,34,0,0,3,2,3,2,1,1,0,8,0,5,0,6,1
73,73.0,71,1204.0,6.174358974358975,6.2219725335900575,34,0,0,3,3,3,2,2,1,0,10,0,5,0,7,1
74,74.0,76,1280.0,6.564102564102564,5.94829122132848,35,0,0,3,5,3,2,2,1,0,10,0,6,0,8,1
75,75.0,75,1307.0,6.668367346938775,5.823097256230482,35,0,1,3,5,3,2,3,0,0,9,1,4,0,8,1
76,76.0,75,1344.0,6.857142857142857,5.712872264930374,36,0,2,3,6,3,2,3,0,0,9,1,2,0,7,1
77,77.0,74,1384.0,6.954773869346734,5.753906538417995,36,0,2,3,7,3,2,3,0,0,9,1,0,0,7,1
78,78.0,74,1424.0,7.155778894472362,5.639657192710672,36,0,3,4,7,3,2,3,0,0,8,1,0,0,6,1
79,79.0,74,1468.0,7.160975609756098,5.82861084722168,36,0,5,4,7,3,2,3,0,0,6,1,0,0,6,1
80,80.0,71,1511.0,7.3707317073170735,5.728330701305385,36,0,5,5,5,3,2,3,0,0,6,1,0,0,3,2
81,81.0,65,1484.0,7.169082125603865,5.928557710923148,36,0,3,3,5,3,2,3,0,0,5,0,0,0,4,1
82,82.0,61,1495.0,7.328431372549019,6.030491072841216,36,0,2,2,4,3,2,3,0,0,5,0,0,0,4,0
83,83.0,57,1531.0,7.396135265700483,6.35739388579334,36,0,1,0,4,3,2,3,0,0,4,0,0,0,4,0
84,84.0,53,1549.0,7.519417475728155,6.433051929388258,36,0,1,0,5,3,2,1,0,0,3,0,0,0,2,0
85,85.0,53,1587.0,7.450704225352113,6.747722808231819,36,0,1,0,4,3,2,0,0,0,4,0,0,0,3,0
