,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,13.62286875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,13.389276033954323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,13.520477778664407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,13.309417189531574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,12.98183964522508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,12.882186479903282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,13.170419269454959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,12.932366544524498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,13.05298933153943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,12.769859942057922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.34582031886795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,11.812486890018924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,0,0.0,0.0,11.6229939770788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,0,0.0,0.0,11.088407059559202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15.0,2,2.0,0.045454545454545456,11.069267294991421,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
16,16.0,3,5.0,0.11363636363636363,10.663100982133304,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
17,17.0,3,8.0,0.16666666666666666,10.424799198269657,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
18,18.0,2,7.0,0.14583333333333334,10.221535022555571,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,19.0,2,9.0,0.16071428571428573,10.823702040229652,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,20.0,2,11.0,0.19642857142857142,10.537124937843558,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,21.0,4,9.0,0.15,10.930957976070964,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,22.0,4,13.0,0.21666666666666667,10.93392375313247,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,23.0,4,17.0,0.265625,11.258005316998464,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,24.0,1,4.0,0.0625,11.364385805145837,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,25.0,1,5.0,0.06944444444444445,11.500462017269983,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,26.0,1,6.0,0.08333333333333333,11.262391239987421,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,27.0,0,0.0,0.0,11.12098366896353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28.0,1,1.0,0.013157894736842105,10.73481640411543,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,29.0,4,5.0,0.0625,10.517800070871868,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
30,30.0,5,10.0,0.125,10.00313867356749,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
31,31.0,9,19.0,0.2159090909090909,9.876513826471546,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1
32,32.0,11,30.0,0.3409090909090909,9.286444684578212,4,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1
33,33.0,12,36.0,0.391304347826087,9.094343608947726,4,1,0,0,2,0,0,0,0,0,4,0,0,0,0,1
34,34.0,11,45.0,0.4891304347826087,8.773774725122488,4,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0
35,35.0,15,60.0,0.625,8.578725591907824,5,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0
36,36.0,15,61.0,0.6354166666666666,8.233300359829064,4,0,0,0,4,0,0,0,0,0,6,1,0,0,0,0
37,37.0,14,63.0,0.6057692307692307,8.384864566429219,2,0,0,0,4,0,0,0,0,0,6,2,0,0,0,0
38,38.0,18,76.0,0.7307692307692307,8.227551329561969,3,0,0,0,4,1,0,0,0,0,7,3,0,0,0,0
39,39.0,19,72.0,0.6666666666666666,8.417035245950247,1,0,0,0,6,2,0,0,0,0,5,5,0,0,0,0
40,40.0,18,73.0,0.6759259259259259,8.19314199360146,1,0,0,0,7,2,0,0,0,0,3,5,0,0,0,0
41,41.0,17,78.0,0.6964285714285714,8.369728310970743,1,0,0,0,7,2,0,0,0,0,2,5,0,0,0,0
42,42.0,17,69.0,0.6160714285714286,8.342449893687641,1,1,0,0,6,1,0,0,0,0,3,5,0,0,0,0
43,43.0,14,65.0,0.5416666666666666,8.784907003510419,1,1,0,0,4,0,0,0,0,0,2,5,1,0,0,0
44,44.0,12,64.0,0.5333333333333333,8.8067014681756,1,1,0,0,2,0,0,0,0,0,2,5,1,0,0,0
45,45.0,10,51.0,0.4112903225806452,9.169315758241266,1,1,0,0,1,0,0,0,0,0,2,3,1,0,1,0
46,46.0,8,40.0,0.3225806451612903,9.228964595814755,1,2,0,0,0,0,0,0,0,0,2,1,1,0,1,0
47,47.0,11,43.0,0.3359375,9.418675599436794,2,2,0,0,0,0,0,0,1,0,2,0,1,1,2,0
48,48.0,10,42.0,0.328125,9.341391709509239,0,2,0,1,0,0,0,0,1,0,2,0,1,1,2,0
49,49.0,12,54.0,0.39705882352941174,9.570854920880512,0,2,0,1,0,0,0,0,1,0,2,0,1,2,3,0
50,50.0,15,69.0,0.5073529411764706,9.350941176373961,1,2,0,1,0,0,0,0,2,0,3,0,1,2,3,0
51,51.0,12,38.0,0.2714285714285714,9.366987153921576,2,0,0,3,0,0,1,0,0,0,3,0,0,0,3,0
52,52.0,10,44.0,0.3142857142857143,9.209177990266538,2,0,0,3,0,0,1,0,0,0,3,0,0,0,1,0
53,53.0,12,54.0,0.375,9.163040698238683,4,0,0,3,0,0,1,0,0,0,3,0,0,0,0,1
54,54.0,15,44.0,0.3055555555555556,9.008097101644372,5,1,1,3,0,0,1,0,2,0,1,0,0,0,0,1
55,55.0,17,56.0,0.3684210526315789,9.069442608029616,6,2,1,3,0,0,1,0,2,0,1,0,0,0,0,1
56,56.0,21,77.0,0.506578947368421,8.886974516861711,6,4,2,3,0,0,1,0,2,0,2,0,0,0,0,1
57,57.0,21,85.0,0.5448717948717948,9.005812469545889,5,4,3,3,0,0,1,0,2,0,2,0,0,0,0,1
58,58.0,25,100.0,0.6410256410256411,8.91712646596568,3,6,5,3,1,0,1,0,2,0,3,0,0,0,0,1
59,59.0,29,120.0,0.75,8.854543817401275,1,7,7,3,2,0,1,0,2,1,4,0,0,0,0,1
60,60.0,25,113.0,0.710691823899371,8.606044944532917,0,6,7,3,1,0,1,0,2,1,4,0,0,0,0,0
61,61.0,24,120.0,0.7228915662650602,8.61047659874815,0,5,5,3,2,0,1,0,2,1,5,0,0,0,0,0
62,62.0,25,130.0,0.7831325301204819,8.3354175518401,0,3,4,3,2,0,1,0,3,1,6,0,1,1,0,0
63,63.0,23,108.0,0.6390532544378699,8.243908342703609,0,1,3,3,3,0,0,0,3,0,5,2,2,1,0,0
64,64.0,21,109.0,0.6449704142011834,8.026190701815464,0,1,1,3,4,0,0,0,3,0,4,2,2,1,0,0
65,65.0,25,125.0,0.7267441860465116,7.8565405563266575,0,1,0,3,5,0,0,0,3,0,5,3,4,1,0,0
66,66.0,19,71.0,0.4127906976744186,7.769282165512029,0,1,0,1,4,0,0,0,1,0,3,4,4,1,0,0
67,67.0,20,60.0,0.3333333333333333,7.9989394071630535,1,1,0,1,2,1,0,0,0,0,3,4,6,1,0,0
68,68.0,23,76.0,0.4222222222222222,8.016686249709842,2,2,0,0,0,1,0,0,0,0,4,5,8,1,0,0
69,69.0,24,81.0,0.4426229508196721,8.21010436611862,3,2,0,0,0,2,0,0,0,0,4,4,9,0,0,0
70,70.0,27,99.0,0.5469613259668509,8.33069328749472,5,2,0,0,0,2,1,0,1,0,4,2,10,0,0,0
71,71.0,31,125.0,0.6868131868131868,8.354010971726401,6,2,0,0,0,4,2,0,1,0,4,0,11,0,1,0
72,72.0,27,116.0,0.6373626373626373,8.29829969150566,7,2,0,0,0,4,1,0,1,0,2,0,9,0,1,0
73,73.0,28,116.0,0.6170212765957447,8.42684024805359,8,2,0,0,0,4,0,0,1,0,1,2,7,0,3,0
74,74.0,30,132.0,0.7058823529411765,8.261323251288003,9,3,0,0,0,4,0,0,2,0,1,2,5,0,3,1
75,75.0,26,109.0,0.5736842105263158,8.36262969655465,7,3,0,0,0,2,0,0,2,0,3,2,4,0,1,2
76,76.0,22,92.0,0.48677248677248675,8.362163091376791,6,3,0,0,0,0,0,0,2,0,4,2,2,0,0,3
77,77.0,23,96.0,0.5,8.29997327083936,5,3,0,0,0,0,0,0,2,0,5,2,1,0,1,4
78,78.0,20,59.0,0.3089005235602094,8.104384643628949,4,1,1,0,0,0,0,0,0,0,6,0,1,0,2,5
79,79.0,20,66.0,0.3316582914572864,8.188014575584576,2,0,1,0,0,0,0,0,0,0,8,1,1,0,2,5
80,80.0,24,85.0,0.4271356783919598,7.87683712461119,1,0,2,0,0,0,0,0,1,0,9,2,1,0,2,6
81,81.0,24,71.0,0.35148514851485146,7.798494307328502,0,0,0,0,1,1,0,0,2,0,9,2,1,0,2,6
82,82.0,27,74.0,0.36633663366336633,7.55810637344627,1,0,0,0,1,1,0,1,4,1,7,3,1,0,3,4
83,83.0,28,83.0,0.4029126213592233,7.37581460774406,1,0,0,0,1,1,1,2,4,1,5,4,2,0,3,3
84,84.0,29,78.0,0.3804878048780488,7.059466355716848,0,0,0,0,2,0,1,2,5,1,5,5,4,0,3,1
85,85.0,32,95.0,0.4460093896713615,7.192917467987046,1,0,1,0,3,0,1,3,6,1,4,6,5,0,1,0
86,86.0,37,123.0,0.5774647887323944,6.953762874498789,2,0,3,1,3,0,2,3,7,1,2,6,7,0,0,0
87,87.0,40,156.0,0.7188940092165899,6.9546903835685905,3,0,3,1,3,0,3,4,8,0,2,6,7,0,0,0
88,88.0,53,209.0,0.9720930232558139,6.889072331991484,5,0,3,1,5,0,4,6,10,0,2,6,8,1,2,0
89,89.0,58,267.0,1.2304147465437787,6.891536012722593,6,0,3,2,5,0,4,6,11,0,2,6,10,1,2,0
90,90.0,54,274.0,1.2744186046511627,6.8257404509472845,7,0,1,0,4,0,4,6,10,1,2,6,10,1,2,0
91,91.0,59,300.0,1.3574660633484164,7.083962294044569,8,1,0,1,2,1,4,6,8,2,2,6,11,1,4,2
92,92.0,61,340.0,1.5454545454545454,7.037829038191047,10,1,0,2,3,1,4,6,6,2,2,6,11,1,4,2
93,93.0,58,343.0,1.5381165919282511,7.197435738299968,10,1,0,3,2,1,2,6,4,2,2,6,11,1,3,4
94,94.0,53,351.0,1.588235294117647,7.129641647612485,9,1,0,3,3,1,0,6,3,2,2,6,11,1,1,4
95,95.0,52,377.0,1.6830357142857142,7.2810046021007295,8,1,0,4,3,1,0,6,1,2,2,6,11,1,2,4
96,96.0,49,341.0,1.5429864253393666,7.195253767110378,7,0,0,5,3,2,0,6,1,2,2,5,9,0,3,4
97,97.0,48,324.0,1.4273127753303965,7.374786403236321,6,0,1,5,3,2,0,6,1,2,2,4,7,0,5,4
98,98.0,47,309.0,1.3794642857142858,7.380561214270107,5,0,1,5,3,2,1,6,2,2,3,3,5,0,5,4
99,99.0,43,294.0,1.2951541850220265,7.534180208291785,4,0,1,3,3,2,2,6,1,2,3,3,3,0,6,4
100,100.0,41,294.0,1.3066666666666666,7.493851283261842,3,0,1,1,3,2,2,6,2,2,4,2,1,0,7,5
