,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_i_cr30_101,phase_i_cr30_gln,phase_i_cr30_lln,phase_i_cr30_tln
0,0.0,0,0.0,0.0,0.0,0,0,0,0
1,1.0,1,0.0,0.0,0.0,0,0,0,0
2,2.0,1,0.0,0.0,1.1380373959429562,0,0,0,0
3,3.0,1,0.0,0.0,2.268716633653579,0,0,0,0
4,4.0,1,0.0,0.0,3.310802335670451,0,0,0,0
5,5.0,1,0.0,0.0,4.318894092715345,0,0,1,0
6,6.0,1,0.0,0.0,5.320025002979673,0,0,0,0
7,7.0,1,0.0,0.0,6.306395523755677,0,0,0,0
8,8.0,1,0.0,0.0,7.248166240256977,0,0,0,0
9,9.0,1,0.0,0.0,8.136494867048329,0,0,0,1
10,10.0,2,0.0,0.0,8.296064888580107,0,0,0,0
11,11.0,1,0.0,0.0,9.060079130481027,0,0,0,0
12,12.0,1,0.0,0.0,9.575233361416783,0,0,0,0
13,13.0,1,0.0,0.0,9.808126022079175,1,0,0,0
14,14.0,1,0.0,0.0,9.952897808346476,0,0,0,0
15,15.0,1,0.0,0.0,10.493805685891108,0,0,0,0
16,16.0,1,0.0,0.0,10.597904860275872,0,0,0,0
17,17.0,1,0.0,0.0,10.900160833560603,0,0,0,0
18,18.0,2,1.0,0.05263157894736842,11.257139032096523,0,0,1,0
19,19.0,2,2.0,0.1,11.716791830960513,0,0,1,0
20,20.0,2,3.0,0.14285714285714285,12.074269632716126,0,0,1,0
21,21.0,2,4.0,0.18181818181818182,12.698887343377539,0,0,1,0
22,22.0,2,5.0,0.21739130434782608,12.986931686466674,0,0,1,0
23,23.0,2,6.0,0.25,13.14722847519725,0,0,1,0
24,24.0,2,7.0,0.28,13.083229169137823,0,0,2,0
25,25.0,2,8.0,0.3076923076923077,13.212515552692967,0,0,1,0
26,26.0,2,10.0,0.38461538461538464,13.791117876458124,1,0,1,0
27,27.0,3,12.0,0.4444444444444444,13.876154576091668,1,0,1,0
28,28.0,4,15.0,0.5357142857142857,13.96045837471882,1,0,1,0
29,29.0,4,18.0,0.6206896551724138,14.050615858817695,1,0,2,0
30,30.0,6,23.0,0.7666666666666667,14.167646907544249,1,2,1,0
31,31.0,5,24.0,0.7741935483870968,14.275865319998823,1,2,1,0
32,32.0,5,28.0,0.875,14.029158923200686,1,2,2,0
33,33.0,5,32.0,0.9696969696969697,13.941661987824574,1,2,1,0
34,34.0,5,36.0,1.0588235294117647,13.811975321789586,1,2,1,0
35,35.0,5,40.0,1.1764705882352942,13.139583967390779,1,2,1,0
36,36.0,5,44.0,1.2571428571428571,12.996846920261888,1,2,1,0
37,37.0,6,48.0,1.2972972972972974,12.510601566890905,1,2,1,0
38,38.0,9,55.0,1.4102564102564104,12.560559025672049,1,3,3,0
39,39.0,8,62.0,1.55,12.729086763360158,1,3,3,0
40,40.0,8,69.0,1.725,12.646369203348575,1,3,3,0
41,41.0,9,77.0,1.8780487804878048,12.983166025356509,1,3,4,0
42,42.0,9,85.0,2.0238095238095237,13.009420185231638,1,3,4,0
43,43.0,9,93.0,2.1627906976744184,12.99116409840031,1,3,4,0
44,44.0,9,101.0,2.2954545454545454,13.125994714144523,1,3,4,0
45,45.0,9,109.0,2.422222222222222,13.231629907826926,1,3,4,0
46,46.0,11,119.0,2.5869565217391304,13.09547184409984,2,3,5,0
47,47.0,12,129.0,2.6875,12.522999534935586,2,3,5,0
48,48.0,11,139.0,2.836734693877551,12.247234625568574,2,3,5,1
49,49.0,11,149.0,2.98,12.021222323319071,2,3,5,0
50,50.0,12,161.0,3.22,12.029980109706544,3,3,6,0
51,51.0,13,173.0,3.392156862745098,11.946282399505268,3,3,6,0
52,52.0,16,187.0,3.5283018867924527,11.77178497487556,3,3,7,2
53,53.0,15,201.0,3.7222222222222223,11.753369231140791,3,3,6,2
54,54.0,14,210.0,3.8181818181818183,11.95996867804092,4,3,6,0
55,55.0,14,223.0,3.982142857142857,11.802602507112294,4,3,6,0
56,56.0,14,236.0,4.140350877192983,11.724327738615163,4,3,6,0
57,57.0,14,249.0,4.293103448275862,11.427289555076074,4,3,6,0
58,58.0,15,263.0,4.5344827586206895,10.715495355726546,4,3,6,1
59,59.0,16,277.0,4.616666666666666,10.234580075775096,4,4,6,1
60,60.0,15,292.0,4.866666666666666,10.224163641493135,5,3,6,1
61,61.0,18,308.0,4.967741935483871,9.936168452340585,5,4,6,2
62,62.0,19,326.0,5.174603174603175,9.801156430725445,6,3,7,2
63,63.0,19,344.0,5.375,9.756317812279963,6,3,7,3
64,64.0,22,364.0,5.515151515151516,9.639393649728085,6,3,10,2
65,65.0,21,385.0,5.833333333333333,10.041968959772753,6,3,10,2
66,66.0,23,407.0,6.074626865671642,10.362892524780534,6,3,11,2
67,67.0,24,430.0,6.323529411764706,10.387550326865899,6,4,12,2
68,68.0,24,453.0,6.565217391304348,10.37532720248031,6,4,11,2
69,69.0,24,476.0,6.8,10.563092962838072,6,5,11,2
70,70.0,24,499.0,7.028169014084507,10.425506798971265,6,4,11,2
71,71.0,23,522.0,7.457142857142857,10.145679781809795,6,4,11,2
72,72.0,25,546.0,7.690140845070423,9.950543272899012,6,5,11,2
73,73.0,26,570.0,7.808219178082192,9.607163142772775,6,5,11,2
74,74.0,27,596.0,8.054054054054054,9.37728769470378,6,7,12,2
75,75.0,28,623.0,8.306666666666667,9.170132008626988,6,7,12,2
76,76.0,30,651.0,8.454545454545455,8.824714664765875,6,7,13,3
77,77.0,29,679.0,8.818181818181818,8.691463659200917,6,7,13,2
78,78.0,33,711.0,9.115384615384615,8.70689693345281,8,8,15,2
79,79.0,33,743.0,9.405063291139241,8.679048556380337,8,8,14,2
80,80.0,33,775.0,9.6875,8.630273247745615,8,8,14,2
81,81.0,33,803.0,9.792682926829269,8.598697156405878,7,8,15,2
82,82.0,33,835.0,10.060240963855422,8.575208062876985,7,9,14,2
83,83.0,32,867.0,10.44578313253012,8.713725143571837,7,9,14,2
84,84.0,35,902.0,10.867469879518072,8.796268832591352,8,9,15,3
85,85.0,38,937.0,10.895348837209303,8.608965223612461,8,9,16,3
