,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,13.940831250000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,13.260264856090025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,13.918573957686997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,13.354362973576164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,13.59084735493568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,13.422812538652643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,13.774184058814342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,13.661405423708603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,13.73639393413769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,13.39801747253016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.908785436278874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,12.54832422942659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,0,0.0,0.0,12.513236890152154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,1,1.0,0.025,11.952828787813754,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,15.0,2,3.0,0.06818181818181818,11.96749476977176,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,16.0,3,6.0,0.13636363636363635,11.544231035381408,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
17,17.0,4,10.0,0.20833333333333334,11.488096720566881,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
18,18.0,4,14.0,0.2916666666666667,11.059073736404002,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
19,19.0,6,20.0,0.35714285714285715,11.078114465565562,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
20,20.0,6,26.0,0.4642857142857143,10.705809214500258,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
21,21.0,9,35.0,0.5833333333333334,10.677915787027281,2,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0
22,22.0,10,45.0,0.75,10.390660585751846,2,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0
23,23.0,12,57.0,0.890625,10.1780472280965,2,2,0,0,0,0,0,0,1,0,6,0,0,1,0,0
24,24.0,10,55.0,0.859375,9.919212740717665,0,2,0,0,0,0,0,0,1,0,6,0,0,1,0,0
25,25.0,11,66.0,0.9166666666666666,9.943696751193007,0,2,0,0,0,1,0,0,1,0,6,0,0,1,0,0
26,26.0,12,78.0,1.0833333333333333,9.491732592433081,0,2,0,0,0,2,0,0,1,0,6,0,0,1,0,0
27,27.0,15,87.0,1.144736842105263,9.48830918927726,1,3,0,0,0,2,0,0,0,0,7,0,1,1,0,0
28,28.0,17,104.0,1.368421052631579,9.246063690990228,2,3,0,0,0,2,0,0,0,0,8,0,1,1,0,0
29,29.0,17,121.0,1.5125,9.211325753499128,2,3,0,0,0,2,0,0,0,0,8,0,1,1,0,0
30,30.0,15,105.0,1.3125,8.990265263066192,2,1,0,0,0,1,0,0,0,0,9,0,1,1,0,0
31,31.0,15,115.0,1.3068181818181819,9.1895518099195,3,0,0,0,0,0,0,0,0,0,10,0,1,1,0,0
32,32.0,17,132.0,1.5,8.785301375994509,4,0,0,0,0,0,0,0,0,0,11,0,1,1,0,0
33,33.0,15,126.0,1.3695652173913044,8.74152902524413,2,1,0,0,0,0,0,0,0,0,11,0,1,0,0,0
34,34.0,15,136.0,1.4782608695652173,8.623173029011824,2,1,0,0,0,0,0,0,0,0,11,0,1,0,0,0
35,35.0,17,152.0,1.5833333333333333,8.986596356826318,1,2,0,0,0,0,0,0,0,0,13,0,1,0,0,0
36,36.0,17,160.0,1.6666666666666667,9.142783376325307,1,2,0,0,0,0,0,0,0,0,13,0,0,0,1,0
37,37.0,17,177.0,1.7019230769230769,9.413013541808546,1,2,0,0,0,0,0,0,0,0,13,0,0,0,1,0
38,38.0,18,195.0,1.875,9.120997449878056,1,2,0,0,0,0,0,0,0,0,14,0,0,0,1,0
39,39.0,19,214.0,1.9814814814814814,9.134900419291538,1,2,0,0,0,0,0,0,0,0,14,0,0,0,2,0
40,40.0,22,236.0,2.185185185185185,9.04729515012242,1,2,0,0,0,0,0,0,1,0,15,0,0,0,3,0
41,41.0,27,263.0,2.3482142857142856,8.927422341757678,2,2,1,0,0,0,0,0,1,0,16,0,0,0,3,2
42,42.0,22,197.0,1.7589285714285714,8.604162754519061,1,0,1,0,0,0,0,0,1,0,15,0,0,0,2,2
43,43.0,19,163.0,1.3583333333333334,8.742251420510941,2,0,1,0,0,0,0,0,1,0,13,0,0,0,0,2
44,44.0,19,139.0,1.1583333333333334,8.482202236753041,2,0,2,0,0,0,0,0,1,0,12,0,0,0,0,2
45,45.0,22,126.0,1.0161290322580645,8.381866947389643,4,0,2,0,0,0,0,0,2,0,11,0,0,0,0,3
46,46.0,24,119.0,0.9596774193548387,8.12939193799108,4,1,4,0,0,0,0,0,2,0,9,1,0,0,0,3
47,47.0,24,116.0,0.90625,7.994885612892614,5,1,5,0,0,0,0,0,2,0,7,1,0,0,0,3
48,48.0,24,106.0,0.828125,7.781052923048754,5,1,6,0,0,0,1,0,0,0,6,2,0,0,0,3
49,49.0,28,117.0,0.8602941176470589,7.96415843114131,6,1,6,2,0,0,1,0,0,0,5,4,0,0,0,3
50,50.0,31,134.0,0.9852941176470589,7.878803477137749,7,2,7,2,0,0,3,0,0,0,3,4,0,0,0,3
51,51.0,29,119.0,0.85,8.04031352263912,5,2,7,3,0,0,3,0,0,1,1,5,0,0,1,1
52,52.0,33,131.0,0.9357142857142857,7.999069392423847,5,2,8,3,0,0,4,0,0,1,2,5,0,0,3,0
53,53.0,30,146.0,1.0138888888888888,8.195736294833097,3,2,8,3,0,0,5,0,0,1,0,5,0,0,3,0
54,54.0,25,131.0,0.9097222222222222,8.145721904098531,1,0,6,3,0,0,6,0,0,1,0,5,0,0,3,0
55,55.0,26,135.0,0.8881578947368421,8.360652831517294,1,0,4,4,0,0,7,1,0,1,0,5,0,0,3,0
56,56.0,26,144.0,0.9473684210526315,8.247759994905534,0,0,3,4,0,0,7,2,0,2,0,5,0,0,3,0
57,57.0,20,116.0,0.7435897435897436,8.458898096649959,0,0,2,4,0,0,6,2,0,0,0,5,0,0,1,0
58,58.0,17,113.0,0.7243589743589743,8.473402879096998,0,0,2,4,0,0,4,2,0,0,0,5,0,0,0,0
