,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_i_cr30_101,phase_i_cr30_gln,phase_i_cr30_lln,phase_i_cr30_tln
0,0.0,0,0.0,0.0,0.0,0,0,0,0
1,1.0,1,0.0,0.0,0.0,0,0,0,0
2,2.0,1,0.0,0.0,0.7102831762633287,0,0,0,0
3,3.0,1,0.0,0.0,1.41308249408224,0,0,0,0
4,4.0,1,0.0,0.0,2.156144061114173,0,0,0,0
5,5.0,1,0.0,0.0,3.067605632520281,0,0,1,0
6,6.0,1,0.0,0.0,4.036168253592526,0,0,0,0
7,7.0,1,0.0,0.0,4.83912647080142,0,0,0,0
8,8.0,1,0.0,0.0,5.735693203686969,0,0,0,0
9,9.0,1,0.0,0.0,6.82836401353642,0,0,0,1
10,10.0,2,0.0,0.0,7.228569956496358,0,0,0,0
11,11.0,1,0.0,0.0,8.14637918957548,0,0,0,0
12,12.0,1,0.0,0.0,9.073948270757088,0,0,0,0
13,13.0,1,0.0,0.0,9.458641278882471,1,0,0,0
14,14.0,1,0.0,0.0,9.381020607301135,0,0,0,0
15,15.0,1,0.0,0.0,9.531743035332925,0,0,0,0
16,16.0,1,0.0,0.0,9.777456392868132,0,0,0,0
17,17.0,1,0.0,0.0,9.895709559659668,0,0,0,0
18,18.0,2,1.0,0.05263157894736842,10.247906146202759,0,0,1,0
19,19.0,2,2.0,0.1,10.217535661395734,0,0,1,0
20,20.0,2,3.0,0.14285714285714285,10.346153191856919,0,0,1,0
21,21.0,2,4.0,0.18181818181818182,10.892149730768695,0,0,1,0
22,22.0,2,5.0,0.21739130434782608,11.393876044116348,0,0,1,0
23,23.0,3,7.0,0.2916666666666667,11.64110809845909,0,0,1,1
24,24.0,3,9.0,0.36,11.824601900136962,0,0,2,1
25,25.0,3,11.0,0.4230769230769231,12.087870157730292,0,0,1,1
26,26.0,2,13.0,0.5,12.931871507506695,0,0,1,1
27,27.0,4,16.0,0.5925925925925926,13.279902023513479,1,0,1,1
28,28.0,5,20.0,0.7142857142857143,13.312592485371272,1,1,1,1
29,29.0,5,24.0,0.8275862068965517,13.054740084032321,1,1,2,1
30,30.0,5,28.0,0.9333333333333333,13.033266762916275,1,1,1,1
31,31.0,5,32.0,1.032258064516129,13.217271197267035,1,1,1,1
32,32.0,6,37.0,1.15625,13.378723607683362,1,2,2,1
33,33.0,6,42.0,1.2727272727272727,13.229297727294048,1,2,1,1
34,34.0,6,47.0,1.3823529411764706,12.924223780239426,1,2,1,1
35,35.0,6,52.0,1.4857142857142858,12.610999496333177,1,2,1,1
36,36.0,6,57.0,1.5833333333333333,12.418051348796432,1,2,1,1
37,37.0,8,63.0,1.6578947368421053,11.797332442334053,1,2,2,1
38,38.0,7,69.0,1.7692307692307692,12.013915599869867,1,2,2,1
39,39.0,11,78.0,1.9024390243902438,11.91778912923069,2,3,3,1
40,40.0,10,87.0,2.0714285714285716,12.312006839533334,2,3,3,1
41,41.0,11,97.0,2.3095238095238093,12.316763255005625,2,3,4,1
42,42.0,11,107.0,2.488372093023256,12.326769791904294,2,3,4,1
43,43.0,10,117.0,2.7209302325581395,12.596052751241393,2,3,4,1
44,44.0,11,127.0,2.8863636363636362,12.521006404634296,2,3,4,1
45,45.0,12,137.0,2.9782608695652173,12.1710838849588,2,3,4,1
46,46.0,12,148.0,3.148936170212766,12.051573484867871,2,3,5,1
47,47.0,14,160.0,3.2653061224489797,11.647094923420697,3,3,5,1
48,48.0,13,172.0,3.44,11.263315228258794,3,3,5,2
49,49.0,13,184.0,3.607843137254902,11.015862832462494,3,3,5,1
50,50.0,13,197.0,3.8627450980392157,11.025400991951797,4,3,5,1
51,51.0,13,181.0,3.480769230769231,10.798302470990974,4,3,5,0
52,52.0,15,194.0,3.5925925925925926,10.290656506418642,5,3,6,0
53,53.0,16,209.0,3.8,10.18288059166828,6,3,6,0
54,54.0,18,226.0,4.035714285714286,10.028917719788808,7,3,6,1
55,55.0,18,243.0,4.2631578947368425,9.975700486987714,7,3,6,1
56,56.0,19,260.0,4.406779661016949,9.794536906796083,7,3,6,1
57,57.0,19,278.0,4.633333333333334,9.70995285843411,8,3,6,1
58,58.0,20,297.0,4.868852459016393,9.594564502539162,8,3,6,2
59,59.0,22,318.0,5.129032258064516,9.46720230667858,10,4,6,2
60,60.0,21,333.0,5.370967741935484,9.332135524308033,10,3,7,1
61,61.0,24,355.0,5.546875,8.79968423801783,10,4,8,1
62,62.0,25,379.0,5.8307692307692305,8.660107892915631,11,4,8,1
63,63.0,26,404.0,6.121212121212121,8.684548550004845,11,4,8,3
64,64.0,29,431.0,6.338235294117647,8.490057866074839,11,4,11,2
65,65.0,28,459.0,6.75,8.644842339925123,12,4,10,2
66,66.0,30,488.0,7.072463768115942,8.788059746714913,13,4,10,2
67,67.0,32,519.0,7.414285714285715,8.908910508686475,14,5,11,2
68,68.0,32,550.0,7.746478873239437,8.913997447845635,14,5,10,2
69,69.0,32,581.0,8.069444444444445,8.830976719063576,14,6,10,2
70,70.0,32,612.0,8.383561643835616,8.78800525876921,14,5,10,2
71,71.0,33,645.0,8.835616438356164,8.643113603679197,15,6,10,2
72,72.0,33,663.0,8.95945945945946,8.391762376297793,15,6,10,1
73,73.0,35,696.0,9.157894736842104,8.077896988716722,16,6,10,1
74,74.0,37,732.0,9.506493506493506,7.940625465437107,16,9,11,1
75,75.0,38,769.0,9.85897435897436,7.973463876705877,16,8,11,1
76,76.0,39,806.0,10.075,7.7438538066153395,16,8,11,2
77,77.0,40,845.0,10.432098765432098,7.543697555139376,16,9,12,1
78,78.0,38,878.0,10.707317073170731,7.547255558298633,16,9,12,1
79,79.0,38,915.0,11.024096385542169,7.593861408431234,16,9,11,1
80,80.0,40,954.0,11.357142857142858,7.480661128964693,16,10,12,1
81,81.0,41,993.0,11.546511627906977,7.309889676324138,16,10,13,1
82,82.0,42,1034.0,11.885057471264368,7.420828595269233,16,10,14,1
83,83.0,45,1079.0,12.402298850574713,7.649957234567782,18,10,15,2
84,84.0,42,929.0,10.67816091954023,7.989615017877813,18,5,16,3
85,85.0,41,938.0,10.539325842696629,8.139996681038825,18,2,16,3
