,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,13.665611250000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,13.633038559136839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,12.952266992881919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,12.759055409709637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,12.316899043098232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,12.53957290184698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,12.860063762977639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,12.846708615596947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,12.801557865942659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,12.579889868602782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.325377842797643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,12.296981782581023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,0,0.0,0.0,12.508329747749368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,0,0.0,0.0,11.99031164183571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15.0,1,1.0,0.022727272727272728,11.991155883550398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16.0,1,2.0,0.045454545454545456,11.639072765060904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17.0,3,5.0,0.10416666666666667,11.316185515444184,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,18.0,4,9.0,0.1875,10.957782975387516,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,19.0,5,14.0,0.25,11.060683603130707,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,20.0,7,21.0,0.375,10.785389349954725,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
21,21.0,5,21.0,0.35,10.84193310651469,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22.0,7,28.0,0.4666666666666667,10.59514192246026,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23.0,7,35.0,0.546875,10.57661066388353,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24.0,7,42.0,0.65625,10.122750644509017,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25.0,9,51.0,0.7083333333333334,10.061196437773576,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
26,26.0,10,61.0,0.8472222222222222,9.54731352398833,6,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0
27,27.0,13,74.0,0.9736842105263158,9.590203860774585,8,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0
28,28.0,15,89.0,1.1710526315789473,9.220624096745063,8,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0
29,29.0,18,107.0,1.3375,9.118186015951043,9,2,0,0,0,0,0,0,0,0,1,1,1,0,4,0
30,30.0,21,128.0,1.6,8.59319045290432,10,2,0,0,0,0,0,0,0,0,1,1,1,0,5,1
31,31.0,22,150.0,1.7045454545454546,8.589856148100132,11,2,0,0,0,0,0,0,0,0,1,1,1,0,5,1
32,32.0,25,175.0,1.9886363636363635,7.9928088764725,11,2,0,0,0,0,0,0,0,0,1,1,2,0,7,1
33,33.0,22,160.0,1.7391304347826086,7.934587231056336,12,0,0,0,0,0,0,0,0,0,0,1,2,0,5,2
34,34.0,23,171.0,1.858695652173913,7.537393019671545,12,0,0,0,1,0,0,0,1,0,0,1,2,0,3,3
35,35.0,22,185.0,1.9270833333333333,7.412907129098778,12,0,0,0,2,0,0,0,1,0,0,1,2,0,1,3
36,36.0,24,203.0,2.1145833333333335,7.411489895657795,12,0,0,0,2,1,0,0,0,0,1,1,3,0,1,3
37,37.0,25,227.0,2.1826923076923075,7.897891347835408,14,0,0,0,2,1,0,0,0,0,1,1,3,0,0,3
38,38.0,26,253.0,2.4326923076923075,7.892230832823836,14,0,0,0,3,1,0,0,0,0,1,1,3,0,0,3
39,39.0,25,256.0,2.3703703703703702,8.008329471155019,15,0,0,0,2,1,0,0,0,0,1,0,3,0,0,3
