,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,13.61070625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,13.441914707262256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,12.917231966024739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,13.512866324998603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,13.19119521135848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,13.464484595026933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,13.227553876609113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,13.377681213853451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,12.854634473697242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,12.93829656742297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.805120168296472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,12.01354402980398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,0,0.0,0.0,11.997922101600347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,3,3.0,0.075,11.108068066394637,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
15,15.0,3,6.0,0.13636363636363635,10.37458476299905,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16,16.0,6,12.0,0.2727272727272727,9.684961023280595,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0
17,17.0,8,20.0,0.4166666666666667,9.595880874537459,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0
18,18.0,9,29.0,0.6041666666666666,9.01883940499992,3,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0
19,19.0,12,41.0,0.7321428571428571,9.217552684653763,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0
20,20.0,12,53.0,0.9464285714285714,8.64249080843135,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0
21,21.0,13,54.0,0.9,8.31722975839005,2,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0
22,22.0,12,61.0,1.0166666666666666,7.848018494284014,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0
23,23.0,15,76.0,1.1875,7.7574296218961605,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0
24,24.0,15,74.0,1.15625,7.154676562528305,0,0,0,0,6,0,0,0,0,0,5,0,0,1,3,0
25,25.0,16,80.0,1.1111111111111112,7.730089810276236,1,0,0,0,6,0,0,0,0,0,6,0,0,1,2,0
26,26.0,16,92.0,1.2777777777777777,7.496918054793671,1,0,0,0,6,0,0,0,0,0,6,0,1,1,1,0
27,27.0,14,80.0,1.0526315789473684,7.8389036481996754,1,0,0,0,5,0,0,0,0,0,7,0,0,1,0,0
28,28.0,14,78.0,1.0263157894736843,7.740114818259111,1,1,0,0,4,0,0,0,0,0,7,0,0,1,0,0
29,29.0,14,81.0,1.0125,7.821439217001307,1,1,0,0,3,0,0,0,0,0,8,0,0,1,0,0
30,30.0,10,54.0,0.675,7.6753476565078245,0,1,0,0,2,0,0,0,0,0,6,0,0,1,0,0
31,31.0,10,43.0,0.48863636363636365,8.067789603509063,2,1,0,0,0,0,0,0,1,0,4,1,0,1,0,0
32,32.0,13,41.0,0.4659090909090909,7.948879200020074,3,2,0,0,0,0,0,0,1,0,4,1,0,2,0,0
33,33.0,10,31.0,0.33695652173913043,8.25107884418034,4,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0
34,34.0,12,39.0,0.42391304347826086,8.207080597742495,5,0,0,0,0,0,0,0,1,0,2,1,0,2,1,0
35,35.0,12,49.0,0.5104166666666666,8.353401683715783,5,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0
36,36.0,13,41.0,0.4270833333333333,8.090801145129655,6,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0
37,37.0,12,52.0,0.5,8.308533912386249,6,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0
38,38.0,15,67.0,0.6442307692307693,8.049250040093584,6,1,0,0,0,0,0,0,1,1,0,0,0,0,6,0
39,39.0,18,81.0,0.75,8.238784027286325,8,1,0,0,0,0,0,0,1,0,1,0,0,0,7,0
40,40.0,21,102.0,0.9444444444444444,8.065910452702651,9,2,0,0,0,0,0,0,2,0,1,0,0,0,7,0
41,41.0,26,128.0,1.1428571428571428,8.02919991494611,9,4,0,0,0,0,0,0,2,0,2,0,0,0,9,0
42,42.0,27,133.0,1.1875,7.78287620289879,8,5,0,0,0,0,0,0,2,0,3,0,0,0,9,0
43,43.0,30,142.0,1.1833333333333333,7.86023896913599,6,5,0,0,1,0,0,0,2,0,5,0,0,0,11,0
44,44.0,31,155.0,1.2916666666666667,7.445228135153879,5,6,0,0,2,0,0,0,2,0,5,0,0,0,11,0
45,45.0,32,156.0,1.2580645161290323,7.326293879861332,3,6,0,0,4,0,0,0,1,0,7,0,0,0,11,0
46,46.0,32,177.0,1.4274193548387097,7.0169920961860095,2,6,0,0,4,0,0,0,0,0,8,1,0,0,11,0
47,47.0,35,209.0,1.6328125,6.893301810576721,1,6,0,0,6,0,0,0,0,0,9,1,0,0,12,0
48,48.0,36,245.0,1.9140625,6.628846764504957,1,6,0,0,6,1,0,0,0,0,9,1,0,0,12,0
49,49.0,42,287.0,2.110294117647059,6.822749743493941,1,6,0,0,6,2,0,0,0,0,11,3,0,0,13,0
50,50.0,46,333.0,2.448529411764706,6.440828209883239,1,6,0,0,6,3,0,0,0,0,13,3,0,0,14,0
51,51.0,48,335.0,2.392857142857143,6.499128520967992,1,4,0,0,8,4,0,0,0,0,11,5,0,0,15,0
52,52.0,49,343.0,2.45,6.086738381697999,1,2,0,0,8,6,0,0,0,0,12,5,0,0,15,0
53,53.0,50,355.0,2.4652777777777777,5.947622535626393,1,0,0,1,8,6,2,0,0,0,11,5,0,0,16,0
54,54.0,49,340.0,2.3776223776223775,5.4650460291741645,0,0,0,1,9,8,2,0,0,0,9,6,0,0,14,0
55,55.0,52,340.0,2.251655629139073,5.695487936179874,1,0,0,1,10,8,2,0,0,0,8,6,0,1,15,0
56,56.0,50,341.0,2.2582781456953644,5.541032572358488,2,0,0,1,10,8,3,0,0,0,6,6,0,1,13,0
57,57.0,51,346.0,2.232258064516129,5.746326280782722,3,0,0,1,11,8,3,0,0,1,5,6,0,2,11,0
58,58.0,50,353.0,2.2774193548387096,5.730249203578965,3,0,0,1,11,8,4,0,0,1,4,6,0,2,10,0
59,59.0,52,371.0,2.3333333333333335,5.9143516966765235,5,1,0,1,12,8,4,0,0,1,3,6,0,3,8,0
60,60.0,45,363.0,2.2830188679245285,5.851434301079065,6,0,0,1,13,8,2,0,0,1,1,6,0,1,6,0
61,61.0,45,377.0,2.2710843373493974,6.1009712623472385,7,2,0,1,14,8,0,0,0,1,0,6,0,0,6,0
62,62.0,48,418.0,2.5180722891566263,6.0048051497389405,9,2,0,1,14,8,0,0,0,1,2,6,0,0,5,0
63,63.0,48,414.0,2.4642857142857144,6.048360012540987,9,3,0,0,15,6,0,0,0,2,2,6,0,0,4,1
64,64.0,53,435.0,2.5892857142857144,5.907698590949635,11,5,0,0,16,4,0,0,0,2,4,6,0,0,3,2
65,65.0,56,464.0,2.7294117647058824,5.7978974417133236,13,5,0,0,16,2,0,0,0,2,6,7,0,0,3,2
66,66.0,54,458.0,2.6941176470588237,5.578256544804167,11,7,0,0,17,0,0,0,0,2,6,7,0,0,1,3
67,67.0,60,500.0,2.808988764044944,5.667229004716025,10,8,0,0,17,0,0,0,1,2,8,8,0,0,3,3
68,68.0,65,548.0,3.0786516853932584,5.3284506564326035,9,9,0,0,19,0,0,0,2,2,9,9,0,0,3,3
69,69.0,64,543.0,2.9835164835164836,5.204291263958635,8,9,0,0,19,0,0,0,2,3,10,7,0,0,5,1
70,70.0,65,550.0,3.0386740331491713,4.897211434524563,6,9,0,0,19,0,0,0,3,3,12,7,0,0,6,0
71,71.0,63,563.0,3.0432432432432432,4.9205271064579765,4,9,0,0,19,0,0,0,4,3,12,5,0,0,7,0
72,72.0,61,545.0,2.978142076502732,4.728678077770086,3,7,0,0,19,0,0,0,3,1,14,3,0,0,9,2
73,73.0,61,565.0,2.9581151832460733,5.049015857506503,2,5,0,0,21,1,0,0,1,0,16,1,1,0,9,4
74,74.0,60,600.0,3.1578947368421053,4.974496757449168,1,4,0,0,21,1,0,0,0,0,17,0,1,0,11,4
75,75.0,63,635.0,3.2731958762886597,5.1531591258028575,1,2,0,0,22,0,0,2,0,0,19,1,0,0,12,4
76,76.0,69,696.0,3.5876288659793816,5.00830819878049,2,1,0,0,23,0,0,2,1,0,20,1,0,0,13,6
77,77.0,74,769.0,3.8838383838383836,5.02331778599165,3,1,0,0,23,0,0,2,1,0,20,1,0,0,15,8
78,78.0,79,832.0,4.202020202020202,4.911656277166905,5,1,1,2,23,0,0,3,1,0,21,0,0,0,16,6
79,79.0,85,905.0,4.393203883495145,5.225220273959899,6,1,1,3,24,0,0,4,1,0,23,1,0,0,17,4
80,80.0,90,987.0,4.79126213592233,4.997636042493336,7,1,1,4,25,0,0,4,1,0,24,2,0,0,19,2
81,81.0,88,1017.0,4.8428571428571425,5.1178200677308086,8,0,1,4,26,0,0,4,0,0,23,3,0,0,19,0
82,82.0,93,1074.0,5.114285714285714,5.035165022506377,9,0,1,4,26,0,1,4,0,0,22,4,0,0,22,0
83,83.0,99,1137.0,5.313084112149533,5.075380419819718,11,3,1,4,26,0,2,4,0,0,20,5,0,0,23,0
84,84.0,101,1198.0,5.598130841121495,4.986028876634623,13,3,0,4,27,0,2,4,0,0,19,6,0,0,23,0
85,85.0,105,1270.0,5.7207207207207205,5.086538793524533,14,5,0,4,27,0,4,4,0,0,17,6,0,0,24,0
86,86.0,110,1348.0,6.099547511312217,4.750884745566165,15,5,0,4,28,0,4,4,0,0,16,6,2,0,26,0
87,87.0,109,1418.0,6.358744394618834,4.491454612040593,16,5,0,4,29,0,2,4,0,0,15,6,2,0,26,0
88,88.0,112,1494.0,6.760180995475113,4.151514386831119,16,7,0,4,29,0,0,4,1,0,13,6,2,1,27,2
89,89.0,119,1584.0,7.103139013452915,3.8952403461838294,18,9,0,4,29,0,0,4,3,0,12,6,3,2,27,2
90,90.0,124,1673.0,7.536036036036036,3.672486817117454,19,9,0,4,31,0,0,4,4,2,10,6,2,3,28,2
91,91.0,128,1785.0,7.794759825327511,3.723163507279008,20,9,0,4,31,0,0,4,4,4,11,6,1,3,29,2
92,92.0,130,1888.0,8.244541484716157,3.5796324010100613,21,9,0,4,31,0,0,5,4,4,11,6,0,4,29,2
93,93.0,135,1989.0,8.53648068669528,3.4836546374636272,21,9,0,4,32,0,0,7,4,5,11,6,0,4,30,2
94,94.0,137,2105.0,9.034334763948499,3.3802614014124384,22,9,0,4,32,0,0,8,2,5,11,6,0,5,31,2
95,95.0,140,2221.0,9.451063829787234,3.253978675247848,23,9,0,4,34,0,0,9,0,6,10,7,0,5,31,2
96,96.0,141,2334.0,9.931914893617021,3.147555335975939,23,9,0,4,34,0,0,10,0,4,11,7,0,5,32,2
97,97.0,144,2456.0,10.233333333333333,3.2333016567137167,24,9,0,4,35,0,0,12,0,2,10,8,1,5,32,2
98,98.0,146,2587.0,10.779166666666667,3.1809303312039803,24,9,0,4,35,0,0,12,0,0,10,10,2,5,33,2
99,99.0,144,2575.0,10.510204081632653,3.231027793391804,25,9,0,2,34,0,0,12,1,0,10,10,0,6,33,2
100,100.0,146,2566.0,10.603305785123966,3.1818378585404985,25,9,0,0,32,0,0,12,1,1,13,11,0,6,34,2
101,101.0,149,2606.0,10.724279835390947,3.293030590238727,27,9,0,0,32,0,0,12,1,1,13,12,0,6,34,2
102,102.0,145,2583.0,10.717842323651452,3.2671279670227236,27,7,0,0,31,0,0,12,1,1,14,12,0,6,34,0
103,103.0,145,2595.0,10.591836734693878,3.4988666353070843,27,5,0,0,29,0,0,12,1,1,16,12,0,7,35,0
104,104.0,144,2610.0,10.653061224489797,3.6072330490934075,27,3,0,0,27,0,1,12,1,2,16,12,0,7,36,0
105,105.0,142,2618.0,10.642276422764228,3.734232978895853,29,1,0,0,25,0,1,12,0,0,19,12,0,7,36,0
106,106.0,139,2654.0,10.744939271255062,3.7110889161635434,29,1,0,0,23,0,1,12,0,0,18,12,0,7,36,0
