edges_version;location_convBoundary;location_netOffset;location_origBoundary;location_projParameter;edge_from;edge_id;edge_length;edge_numLanes;edge_priority;edge_speed;edge_to;edge_shape;edge_spreadType;edge_disallow;edge_name;edge_type;lane_index;param_key;param_value
1.20;8628.46,930.16,11243.17,2012.33;-450011.54,-4996025.65;-93.635696,45.109217,-93.481704,45.152564;+proj=utm +zone=15 +ellps=WGS84 +datum=WGS84 +units=m +no_defs;;;;;;;;;;;;;;;
1.20;;;;;ncr101_du_1;CR101_DU_1;400.00;1;-1;22.35;ncr101_du_2;;;;;;;;
1.20;;;;;ncr101_du_2;CR101_DU_2;95.00;2;-1;22.35;ncr101_du_3;8930.94,1518.79 8930.99,1522.38 8931.39,1581.37;center;;;;;;
1.20;;;;;ncr101_du_3;CR101_DU_3;26.00;2;-1;22.35;i_cr30_101;8931.39,1581.37 8932.09,1615.39;center;;;;;;
1.20;;;;;ncr101_du_3;CR101_DU_3R;;1;-1;22.35;ncr30_lr_3;8931.39,1581.37 8934.46,1588.53 8937.46,1597.78 8940.23,1605.05 8943.50,1610.35 8947.17,1614.17 8952.02,1616.54 8959.24,1617.70;;;;;;;
1.20;;;;;i_cr30_101;CR101_DU_4;50.00;1;-1;22.35;ncr101_du_4;8931.08,1621.05 8931.61,1627.91 8931.92,1667.77 8932.54,1684.20;;;;;;;
1.20;;;;;ncr101_du_4;CR101_DU_5;450.00;1;-1;22.35;ncr101_du_5;8932.54,1684.20 8933.81,1753.52 8933.41,1912.28;;;;;;;
1.20;;;;;ncr101_ud_1;CR101_UD_1;400.00;1;-1;22.35;ncr101_ud_2;;;;;;;;
1.20;;;;;ncr101_ud_2;CR101_UD_2;100.00;2;-1;22.35;i_cr30_101;8927.62,1718.64 8927.15,1703.01 8927.43,1627.78;center;;;;;;
1.20;;;;;i_cr30_101;CR101_UD_3;500.00;1;-1;22.35;ncr101_ud_3;8931.08,1621.05 8927.70,1615.23 8925.87,1326.31;;;;;;;
1.20;;;;;ncr30_lr_1;CR30_LR_1;400.00;1;-1;22.35;ncr30_lr_2;;;;;;;;
1.20;;;;;ncr30_lr_8;CR30_LR_10;;2;11;22.35;ncr30_lr_9;;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;6033582
1.20;;;;;ncr30_lr_8;CR30_LR_10;;2;11;22.35;ncr30_lr_9;;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;6033582
1.20;;;;;gneJ1;CR30_LR_10from9;170.00;2;11;22.35;ncr30_lr_8;9790.66,1604.97 9802.97,1602.97 9826.84,1595.34 9852.08,1584.49 9874.89,1572.99 9886.19,1566.15 9922.68,1544.07 9970.11,1514.36;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;6033582
1.20;;;;;gneJ1;CR30_LR_10from9;170.00;2;11;22.35;ncr30_lr_8;9790.66,1604.97 9802.97,1602.97 9826.84,1595.34 9852.08,1584.49 9874.89,1572.99 9886.19,1566.15 9922.68,1544.07 9970.11,1514.36;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;6033582
1.20;;;;;ncr30_lr_9;CR30_LR_11;100.00;3;11;22.35;i_cr30_pln;10025.14,1479.41 10114.79,1423.34;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;6033582
1.20;;;;;ncr30_lr_9;CR30_LR_11;100.00;3;11;22.35;i_cr30_pln;10025.14,1479.41 10114.79,1423.34;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;6033582
1.20;;;;;ncr30_lr_9;CR30_LR_11;100.00;3;11;22.35;i_cr30_pln;10025.14,1479.41 10114.79,1423.34;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;2;origId;6033582
1.20;;;;;i_cr30_pln;CR30_LR_12;305.27;2;11;22.35;ncr30_lr_10;10118.48,1423.17 10124.45,1419.56 10166.53,1394.61 10238.89,1350.42 10395.17,1256.59;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;756857198
1.20;;;;;i_cr30_pln;CR30_LR_12;305.27;2;11;22.35;ncr30_lr_10;10118.48,1423.17 10124.45,1419.56 10166.53,1394.61 10238.89,1350.42 10395.17,1256.59;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;756857198
1.20;;;;;ncr30_lr_10;CR30_LR_13;100.00;4;11;22.35;i_cr30_lln;10395.17,1256.59 10417.25,1241.50 10449.37,1221.05 10485.81,1197.84;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;756857198
1.20;;;;;ncr30_lr_10;CR30_LR_13;100.00;4;11;22.35;i_cr30_lln;10395.17,1256.59 10417.25,1241.50 10449.37,1221.05 10485.81,1197.84;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;756857198
1.20;;;;;ncr30_lr_10;CR30_LR_13;100.00;4;11;22.35;i_cr30_lln;10395.17,1256.59 10417.25,1241.50 10449.37,1221.05 10485.81,1197.84;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;2;origId;756857198
1.20;;;;;ncr30_lr_10;CR30_LR_13;100.00;4;11;22.35;i_cr30_lln;10395.17,1256.59 10417.25,1241.50 10449.37,1221.05 10485.81,1197.84;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;3;origId;756857198
1.20;;;;;i_cr30_lln;CR30_LR_14;200.00;2;11;20.12;gneJ4;10503.72,1190.95 10525.16,1180.18 10545.81,1171.43 10563.68,1163.61 10583.13,1157.54 10609.19,1150.70 10632.87,1146.13 10656.46,1143.97 10678.97,1142.54 10697.92,1142.53 10719.32,1144.24;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;756857198
1.20;;;;;i_cr30_lln;CR30_LR_14;200.00;2;11;20.12;gneJ4;10503.72,1190.95 10525.16,1180.18 10545.81,1171.43 10563.68,1163.61 10583.13,1157.54 10609.19,1150.70 10632.87,1146.13 10656.46,1143.97 10678.97,1142.54 10697.92,1142.53 10719.32,1144.24;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;756857198
1.20;;;;;ncr30_lr_11;CR30_LR_15;100.00;4;11;20.12;i_cr30_gln;10890.81,1184.41 10897.37,1185.69 10920.97,1188.70 10939.96,1188.83 10969.65,1188.23 10997.62,1187.79 11011.21,1187.03;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;756857198
1.20;;;;;ncr30_lr_11;CR30_LR_15;100.00;4;11;20.12;i_cr30_gln;10890.81,1184.41 10897.37,1185.69 10920.97,1188.70 10939.96,1188.83 10969.65,1188.23 10997.62,1187.79 11011.21,1187.03;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;756857198
1.20;;;;;ncr30_lr_11;CR30_LR_15;100.00;4;11;20.12;i_cr30_gln;10890.81,1184.41 10897.37,1185.69 10920.97,1188.70 10939.96,1188.83 10969.65,1188.23 10997.62,1187.79 11011.21,1187.03;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;2;origId;756857198
1.20;;;;;ncr30_lr_11;CR30_LR_15;100.00;4;11;20.12;i_cr30_gln;10890.81,1184.41 10897.37,1185.69 10920.97,1188.70 10939.96,1188.83 10969.65,1188.23 10997.62,1187.79 11011.21,1187.03;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;3;origId;756857198
1.20;;;;;gneJ4;CR30_LR_15from14;250.00;2;11;20.12;ncr30_lr_11;10719.32,1144.24 10739.65,1146.02 10751.89,1147.95 10759.15,1149.10 10788.93,1156.32 10818.91,1165.55 10837.24,1173.65 10842.49,1174.81 10859.17,1178.51 10866.61,1179.85 10877.46,1181.80 10884.75,1183.22 10890.81,1184.41;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;756857198
1.20;;;;;gneJ4;CR30_LR_15from14;250.00;2;11;20.12;ncr30_lr_11;10719.32,1144.24 10739.65,1146.02 10751.89,1147.95 10759.15,1149.10 10788.93,1156.32 10818.91,1165.55 10837.24,1173.65 10842.49,1174.81 10859.17,1178.51 10866.61,1179.85 10877.46,1181.80 10884.75,1183.22 10890.81,1184.41;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;756857198
1.20;;;;;i_cr30_gln;CR30_LR_16;180.00;2;11;17.88;ncr30_lr_12;11031.13,1186.99 11098.55,1186.02 11241.85,1182.74;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;756857198
1.20;;;;;i_cr30_gln;CR30_LR_16;180.00;2;11;17.88;ncr30_lr_12;11031.13,1186.99 11098.55,1186.02 11241.85,1182.74;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;756857198
1.20;;;;;ncr30_lr_2;CR30_LR_2;100.00;2;-1;22.35;i_cr30_101;8844.18,1618.61 8924.39,1618.64;center;;;;;;
1.20;;;;;i_cr30_101;CR30_LR_3;25.00;1;-1;22.35;ncr30_lr_3;8936.45,1617.62 8959.24,1617.70;center;;;;;;
1.20;;;;;ncr30_lr_3;CR30_LR_4;165.00;2;-1;22.35;ncr30_lr_4;8959.24,1617.70 9119.17,1615.26 9126.30,1615.25;center;;;;0;;
1.20;;;;;ncr30_lr_3;CR30_LR_4;165.00;2;-1;22.35;ncr30_lr_4;8959.24,1617.70 9119.17,1615.26 9126.30,1615.25;center;;;;1;;
1.20;;;;;ncr30_lr_4;CR30_LR_5;60.00;2;-1;22.35;ncr30_lr_5;9126.30,1615.25 9142.67,1614.71 9185.36,1614.11;center;;;;;;
1.20;;;;;ncr30_lr_5;CR30_LR_6;100.00;3;-1;22.35;ncr30_lr_6;9185.36,1614.11 9293.83,1614.28;center;;;;;;
1.20;;;;;ncr30_lr_6;CR30_LR_7;180.00;2;-1;22.35;ncr30_lr_7;9298.26,1614.96 9465.79,1615.12 9484.97,1615.47;center;;;;;;
1.20;;;;;ncr30_lr_7;CR30_LR_8;100.00;3;11;22.35;i_cr30_tln;9484.97,1615.47 9510.40,1615.56 9584.65,1614.69;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;6033582
1.20;;;;;ncr30_lr_7;CR30_LR_8;100.00;3;11;22.35;i_cr30_tln;9484.97,1615.47 9510.40,1615.56 9584.65,1614.69;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;6033582
1.20;;;;;ncr30_lr_7;CR30_LR_8;100.00;3;11;22.35;i_cr30_tln;9484.97,1615.47 9510.40,1615.56 9584.65,1614.69;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;2;origId;6033582
1.20;;;;;i_cr30_tln;CR30_LR_9;224.00;2;11;22.35;gneJ1;9592.83,1613.14 9688.87,1610.02 9726.36,1609.20 9750.95,1608.16 9778.19,1606.99 9790.66,1604.97;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;6033582
1.20;;;;;i_cr30_tln;CR30_LR_9;224.00;2;11;22.35;gneJ1;9592.83,1613.14 9688.87,1610.02 9726.36,1609.20 9750.95,1608.16 9778.19,1606.99 9790.66,1604.97;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;6033582
1.20;;;;;ncr30_rl_1;CR30_RL_1;;2;-1;17.88;ncr30_rl_2;11243.17,1195.58 11171.30,1196.73 11155.45,1197.43;center;;;;;;
1.20;;;;;ncr30_rl_6;CR30_RL_10;100.00;3;11;22.35;ncr30_rl_7;9404.75,1623.19 9315.88,1623.15 9310.55,1623.28;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;756857197
1.20;;;;;ncr30_rl_6;CR30_RL_10;100.00;3;11;22.35;ncr30_rl_7;9404.75,1623.19 9315.88,1623.15 9310.55,1623.28;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;1;origId;756857197
1.20;;;;;ncr30_rl_6;CR30_RL_10;100.00;3;11;22.35;ncr30_rl_7;9404.75,1623.19 9315.88,1623.15 9310.55,1623.28;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;2;origId;756857197
1.20;;;;;ncr30_rl_7;CR30_RL_11;80.00;2;11;22.35;ncr30_rl_8;9310.55,1623.28 9306.65,1624.75 9246.46,1624.54;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;County Road 30;highway.secondary;0;origId;756857197
