,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,14.086086250000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,13.027626897251533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,13.83070988352351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,13.664890832841422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,13.402820034088354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,13.620045793040907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,13.41213829675238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,13.042961182848229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,13.348194411067976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,12.707170486775656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.37245594879867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,11.588785546311453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,0,0.0,0.0,11.61317765477643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,2,2.0,0.05,10.886159389995303,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,15.0,4,6.0,0.13636363636363635,10.993834129162858,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
16,16.0,5,11.0,0.25,10.677845507401539,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
17,17.0,6,17.0,0.3541666666666667,10.363271020500997,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0
18,18.0,8,25.0,0.5208333333333334,9.883673983996081,1,1,0,0,2,0,0,0,0,1,3,0,0,0,0,0
19,19.0,9,34.0,0.6071428571428571,9.975116232203026,1,1,0,0,3,0,0,0,0,1,3,0,0,0,0,0
20,20.0,13,47.0,0.8392857142857143,9.267956861556915,1,2,0,0,4,0,0,0,0,2,4,0,0,0,0,0
21,21.0,13,52.0,0.8666666666666667,9.28745419763231,1,2,0,0,5,0,0,0,0,0,5,0,0,0,0,0
22,22.0,13,65.0,1.0833333333333333,9.021313287138598,1,2,0,0,5,0,0,0,0,0,5,0,0,0,0,0
23,23.0,14,79.0,1.234375,8.988958962759853,2,2,0,0,5,0,0,0,0,0,5,0,0,0,0,0
24,24.0,16,95.0,1.484375,8.419529125957986,2,2,0,0,5,0,0,0,1,0,6,0,0,0,0,0
25,25.0,17,112.0,1.5555555555555556,8.683166339752683,2,2,0,0,6,0,0,0,1,0,6,0,0,0,0,0
26,26.0,20,132.0,1.8333333333333333,8.414175929487065,2,3,0,0,6,0,0,0,1,0,7,0,0,0,0,1
27,27.0,21,150.0,1.9736842105263157,8.66925742549491,3,3,0,0,7,0,0,0,0,0,7,0,0,0,0,1
28,28.0,23,173.0,2.276315789473684,8.218022045555077,3,3,0,0,8,0,0,0,0,0,8,0,0,0,0,1
29,29.0,24,197.0,2.4625,8.112393100237572,3,3,0,0,8,0,0,0,0,0,9,0,0,0,0,1
30,30.0,25,222.0,2.775,7.682460403194969,3,3,0,0,9,0,0,0,0,0,9,0,0,0,0,1
31,31.0,28,250.0,2.840909090909091,8.057759440558009,3,3,0,0,10,0,0,0,0,0,10,0,0,0,0,2
32,32.0,32,282.0,3.2045454545454546,7.522194546579606,3,4,0,0,11,0,0,0,0,0,11,0,0,0,0,3
33,33.0,34,316.0,3.4347826086956523,7.468593580883133,4,4,0,0,11,0,0,0,0,0,11,0,0,0,0,4
34,34.0,36,352.0,3.8260869565217392,6.8276328325522275,4,4,0,0,11,0,0,0,0,0,12,0,0,0,0,5
35,35.0,38,390.0,4.0625,6.569020644363067,4,4,0,0,12,0,0,0,1,0,12,0,0,0,0,5
36,36.0,41,431.0,4.489583333333333,6.021059850663378,4,4,0,0,12,0,0,0,1,0,12,0,0,1,0,7
37,37.0,47,478.0,4.596153846153846,6.238744309928065,4,5,0,0,14,0,0,0,2,0,13,0,0,1,0,8
38,38.0,49,527.0,5.0673076923076925,5.902701530624308,4,5,0,0,14,0,0,0,2,0,14,0,0,2,0,8
39,39.0,50,577.0,5.342592592592593,5.939229097355826,5,5,0,0,14,0,0,0,2,0,14,0,0,2,0,8
40,40.0,56,633.0,5.861111111111111,5.5260709581195115,5,5,0,0,15,0,0,0,4,0,15,0,0,3,0,9
