,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,13.6195675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,13.576753782449403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,12.96407252502265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,13.049466897154018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,13.038066678740522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,13.096177093599195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,13.12395459869864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,13.196233677091728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,12.732629090104126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,12.819467241192543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.184365621497548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,11.656081873047789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,0,0.0,0.0,11.174214075606649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,2,2.0,0.05,10.591757994398709,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
15,15.0,3,5.0,0.11363636363636363,10.19155733770028,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
16,16.0,5,10.0,0.22727272727272727,9.677354835874867,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0
17,17.0,6,16.0,0.3333333333333333,9.37104577388389,0,0,0,0,1,0,0,0,1,1,1,0,0,0,2,0
18,18.0,10,26.0,0.5416666666666666,8.612525899679582,0,0,0,0,3,0,0,0,1,1,2,0,0,0,3,0
19,19.0,11,37.0,0.6607142857142857,8.62186988986279,0,0,0,0,3,0,0,0,1,1,3,0,0,0,3,0
20,20.0,12,49.0,0.875,8.095673242916964,0,0,0,0,3,0,0,0,1,1,4,0,0,0,3,0
21,21.0,18,67.0,1.1166666666666667,7.956915540281281,0,0,0,0,5,0,0,0,2,1,5,0,0,0,5,0
22,22.0,22,89.0,1.4833333333333334,7.540571920693639,1,1,0,0,6,0,0,0,2,2,5,0,0,0,5,0
23,23.0,23,112.0,1.75,7.410679275957797,1,1,0,0,6,0,0,0,2,2,5,0,0,0,6,0
24,24.0,23,133.0,2.078125,6.963814636690797,0,1,0,0,6,0,0,0,2,2,6,0,0,0,6,0
25,25.0,26,159.0,2.2083333333333335,7.039683022406507,0,1,0,0,6,0,0,0,2,2,8,0,0,0,7,0
26,26.0,28,187.0,2.5972222222222223,6.550052856080327,1,1,0,0,6,0,0,0,2,3,8,0,0,0,7,0
27,27.0,33,220.0,2.8947368421052633,6.604478680005767,1,2,0,0,8,0,0,0,3,3,8,0,0,0,8,0
28,28.0,35,255.0,3.3552631578947367,6.195771210158068,1,2,0,0,9,0,0,0,3,3,9,0,0,0,8,0
29,29.0,36,291.0,3.6375,5.96509171235571,1,2,0,0,9,0,0,0,3,3,9,0,0,0,9,0
30,30.0,39,330.0,4.125,5.2873875478735695,2,2,0,0,10,0,0,0,3,3,10,0,0,0,9,0
31,31.0,42,372.0,4.2272727272727275,5.629317540879669,2,2,0,0,10,0,0,0,4,3,10,0,0,0,11,0
32,32.0,45,417.0,4.738636363636363,5.224628341724501,2,3,0,0,10,0,0,0,4,3,12,0,0,0,11,0
33,33.0,49,449.0,4.880434782608695,5.252360912277403,4,1,0,0,12,0,0,0,4,4,12,0,0,0,12,0
34,34.0,49,496.0,5.391304347826087,4.77355430624282,5,0,0,0,12,0,0,0,4,4,12,0,0,0,12,0
35,35.0,50,546.0,5.6875,4.75512793145087,5,1,0,0,12,0,0,0,4,4,12,0,0,0,12,0
36,36.0,50,580.0,6.041666666666667,4.330235598037007,3,1,0,0,12,0,0,0,4,5,13,0,0,0,12,0
37,37.0,53,625.0,6.009615384615385,4.843750929717519,2,2,0,0,13,0,0,0,4,5,14,0,0,0,13,0
38,38.0,55,675.0,6.490384615384615,4.540073742515631,1,2,0,0,14,0,0,0,5,5,15,0,0,0,13,0
39,39.0,58,732.0,6.777777777777778,4.821829699642723,1,2,0,0,15,0,0,0,5,5,15,0,0,0,15,0
40,40.0,59,791.0,7.324074074074074,4.64385646929425,1,2,0,0,15,0,0,0,5,5,16,0,0,0,15,0
41,41.0,61,852.0,7.607142857142857,4.72909247948165,1,2,0,0,16,0,0,0,5,5,16,0,0,0,16,0
42,42.0,59,899.0,8.026785714285714,4.489397176162707,1,0,0,0,16,0,0,0,5,5,16,0,0,0,16,0
43,43.0,62,961.0,8.008333333333333,4.871551598313961,2,0,0,0,17,0,0,0,5,5,17,0,0,0,16,0
44,44.0,64,1025.0,8.541666666666666,4.640535823129777,2,0,0,0,17,0,0,0,6,5,17,0,0,0,17,0
45,45.0,67,1092.0,8.806451612903226,4.83106196873814,2,0,0,0,18,0,0,0,6,5,18,0,0,0,18,0
46,46.0,69,1161.0,9.362903225806452,4.67368331152315,2,1,0,0,18,0,0,0,6,5,19,0,0,0,18,0
47,47.0,72,1233.0,9.6328125,4.693734938673363,2,1,0,0,19,0,0,0,6,6,19,0,0,0,19,0
48,48.0,70,1289.0,10.0703125,4.391393537246494,0,1,0,0,19,0,0,0,6,6,19,0,0,0,19,0
49,49.0,78,1367.0,10.051470588235293,4.677323438700918,1,1,0,0,21,0,0,0,7,6,21,0,0,0,21,0
50,50.0,81,1448.0,10.647058823529411,4.3931825561725715,3,1,0,0,21,0,0,0,7,7,21,0,0,0,21,0
