,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,13.49151375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,13.261375896070227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,13.49944835283297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,12.879096425198641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,13.4539403725982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,13.113452586244867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,13.088031961723852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,12.866138619030826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,13.319577018521034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,12.70684803946575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.369102744542998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,11.61876800141739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,0,0.0,0.0,11.535380502159246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,2,2.0,0.05,10.911876289336174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,15.0,4,6.0,0.13636363636363635,10.736498443223699,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
16,16.0,7,13.0,0.29545454545454547,10.059100007214385,2,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0
17,17.0,7,20.0,0.4166666666666667,10.034144397614355,2,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0
18,18.0,5,20.0,0.4166666666666667,9.538070823261496,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19,19.0,6,26.0,0.4642857142857143,9.639775968268802,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
20,20.0,7,33.0,0.5892857142857143,8.984914854160762,2,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0
21,21.0,8,41.0,0.6833333333333333,9.0650502140154,2,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0
22,22.0,13,54.0,0.9,8.617583522302484,4,2,0,0,0,0,0,0,2,0,0,0,0,0,5,0
23,23.0,14,68.0,1.0625,8.523095978337249,5,2,0,0,0,0,0,0,2,0,0,0,0,0,5,0
24,24.0,16,84.0,1.3125,8.062634248131388,6,2,0,0,0,0,0,0,2,0,0,0,0,0,6,0
25,25.0,18,102.0,1.4166666666666667,8.4352017123715,6,3,0,0,0,0,0,0,2,0,0,0,0,0,7,0
26,26.0,20,122.0,1.6944444444444444,7.919907408661975,7,3,0,0,0,1,0,0,2,0,0,0,0,0,7,0
27,27.0,21,126.0,1.6578947368421053,7.882630450721151,8,1,0,0,0,2,0,0,3,0,0,0,0,0,7,0
28,28.0,24,147.0,1.9342105263157894,7.460660958080977,8,0,0,0,0,2,0,0,3,0,1,0,0,1,9,0
29,29.0,25,172.0,2.15,7.2865588397595245,9,0,0,0,0,2,0,0,3,0,1,0,0,1,9,0
30,30.0,24,187.0,2.3375,6.9482170828775,9,0,0,0,0,1,0,0,3,0,1,0,0,0,10,0
31,31.0,26,212.0,2.409090909090909,7.385031801602429,10,0,0,0,0,1,0,0,3,0,2,0,0,0,10,0
32,32.0,29,240.0,2.727272727272727,7.301765736551899,11,0,0,0,0,0,0,0,4,0,3,0,0,0,11,0
33,33.0,31,271.0,2.9456521739130435,7.512791524386199,11,0,0,0,0,0,0,0,4,0,5,0,0,0,11,0
34,34.0,33,304.0,3.3043478260869565,7.232105071225807,12,0,0,0,0,0,0,0,4,0,5,0,0,0,12,0
35,35.0,34,338.0,3.5208333333333335,7.2197298218980235,12,0,0,0,0,0,0,0,4,0,5,0,0,0,13,0
36,36.0,36,374.0,3.8958333333333335,6.754967249543159,13,0,0,0,0,0,0,0,4,0,5,0,0,0,14,0
37,37.0,38,412.0,3.9615384615384617,6.921222612721744,13,0,0,0,0,0,0,0,4,0,6,1,0,0,14,0
38,38.0,42,454.0,4.365384615384615,6.5824872955848,14,0,0,0,0,0,0,0,4,0,7,2,0,0,15,0
39,39.0,42,429.0,3.9722222222222223,6.805253011844009,13,1,0,0,0,0,0,0,5,0,5,3,0,0,15,0
40,40.0,39,417.0,3.861111111111111,6.545087013356497,11,1,0,0,0,0,0,0,5,0,3,4,0,0,15,0
41,41.0,40,411.0,3.669642857142857,6.664074149619345,10,1,0,0,0,0,0,0,5,0,3,4,0,0,17,0
42,42.0,38,412.0,3.6785714285714284,6.4117922435872625,9,1,0,0,0,0,0,0,5,0,2,4,0,0,17,0
43,43.0,36,420.0,3.5,6.917400826216256,7,1,0,0,0,0,0,0,5,0,1,4,0,1,17,0
44,44.0,37,435.0,3.625,6.856586198955399,6,1,0,0,0,0,0,0,6,0,1,4,0,1,18,0
45,45.0,38,457.0,3.685483870967742,7.1808036205959125,6,1,0,0,0,0,0,0,6,0,2,4,0,1,18,0
46,46.0,39,484.0,3.903225806451613,7.0362652420880645,4,2,0,0,0,0,0,0,6,0,2,4,1,1,19,0
47,47.0,37,513.0,4.0078125,7.0178226559495505,2,2,0,0,0,0,0,0,6,0,2,4,1,1,19,0
48,48.0,38,542.0,4.234375,6.724400382455235,3,2,0,0,0,0,0,0,6,0,1,4,1,1,20,0
49,49.0,38,574.0,4.220588235294118,6.90615403300371,1,2,0,0,0,0,0,0,6,0,2,4,2,1,20,0
50,50.0,43,617.0,4.536764705882353,6.632402424049549,2,3,0,0,1,0,0,0,6,0,2,4,2,2,21,0
51,51.0,45,656.0,4.685714285714286,6.524838372311748,1,3,0,0,1,0,0,0,7,0,4,4,2,2,21,0
52,52.0,49,705.0,5.035714285714286,6.169478257351631,1,3,0,0,2,0,0,0,7,0,5,4,2,2,23,0
53,53.0,51,756.0,5.25,6.071860939533264,1,3,0,0,2,0,0,0,7,0,6,5,2,2,23,0
54,54.0,57,813.0,5.645833333333333,5.745322059707705,3,3,0,0,3,0,0,0,7,0,8,5,2,2,24,0
55,55.0,60,873.0,5.743421052631579,5.875194099904611,3,4,0,0,3,0,0,0,7,0,9,6,2,2,24,0
56,56.0,66,939.0,6.177631578947368,5.479184292690908,5,4,0,0,4,0,0,0,8,0,10,7,2,2,24,0
57,57.0,67,994.0,6.371794871794871,5.350127187305632,6,4,0,0,3,0,0,0,8,0,10,7,2,3,24,0
58,58.0,70,1057.0,6.7756410256410255,4.989436906939611,6,4,0,0,2,0,0,1,8,0,11,8,2,3,25,0
59,59.0,74,1128.0,7.05,4.834975666945292,8,4,0,0,1,0,0,2,8,0,12,9,2,3,25,0
60,60.0,77,1162.0,7.2625,4.54668699970275,8,4,0,0,1,0,0,4,8,0,13,9,2,1,27,0
61,61.0,78,1224.0,7.285714285714286,4.771521842026973,8,4,0,0,1,0,0,5,8,0,13,10,2,0,27,0
62,62.0,82,1297.0,7.720238095238095,4.661762030597128,7,5,0,0,1,0,0,6,9,0,14,10,2,0,28,0
63,63.0,83,1372.0,7.976744186046512,4.777293363906226,7,5,0,0,1,0,0,7,9,0,14,10,2,0,28,0
64,64.0,84,1448.0,8.418604651162791,4.6786722574607005,5,5,0,0,1,0,0,8,9,0,15,10,2,0,29,0
65,65.0,85,1524.0,8.659090909090908,4.681867061590487,4,5,0,0,1,1,0,8,9,0,16,10,2,0,29,0
66,66.0,86,1524.0,8.758620689655173,4.498270202502549,5,3,0,0,1,1,0,9,9,0,15,10,2,0,31,0
67,67.0,82,1540.0,8.508287292817679,4.832715899707883,3,1,0,0,1,2,0,10,9,0,13,10,2,0,31,0
68,68.0,80,1581.0,8.734806629834255,4.857109148980862,2,0,0,0,1,2,0,10,10,0,11,10,2,0,32,0
69,69.0,85,1633.0,8.875,5.060817593313145,3,0,0,0,1,3,0,12,10,0,11,10,2,0,33,0
70,70.0,86,1689.0,9.179347826086957,5.136691496337014,3,0,0,0,1,4,0,13,10,0,10,10,2,0,33,0
71,71.0,84,1747.0,9.292553191489361,5.308046918825679,2,0,0,0,1,4,0,13,10,0,8,10,2,0,34,0
72,72.0,84,1809.0,9.622340425531915,5.277136439658538,2,0,0,0,1,4,0,13,10,0,7,10,2,1,34,0
73,73.0,83,1875.0,9.615384615384615,5.555718979768009,2,0,0,0,1,4,0,13,10,0,6,10,2,1,34,0
74,74.0,85,1960.0,10.051282051282051,5.356011370594882,2,0,0,0,1,4,0,13,11,0,6,10,2,1,35,0
75,75.0,86,2025.0,10.227272727272727,5.459185091841827,3,0,0,0,2,4,0,15,11,0,3,10,2,1,35,0
