,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,13.65414375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,12.703585105955788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,13.954847532669776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,13.574483595629298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,13.318772334196353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,13.018415737493877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,13.096393229599306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,12.713926018600233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,13.15333642875358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,12.886295893118511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.217310981613487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,11.974962212308077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,0,0.0,0.0,11.914449127920937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,2,2.0,0.05,11.43152784438671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,15.0,3,5.0,0.11363636363636363,11.351812637774433,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
16,16.0,5,10.0,0.22727272727272727,11.081547469680508,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17,17.0,6,16.0,0.3333333333333333,10.950650455607565,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
18,18.0,4,13.0,0.2708333333333333,10.419252181187316,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,19.0,3,14.0,0.25,10.50259354280604,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20.0,6,20.0,0.35714285714285715,9.882332980073903,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,21.0,5,24.0,0.4,9.775236485953373,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22.0,8,32.0,0.5333333333333333,9.466257524573262,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,23.0,9,41.0,0.640625,9.456495973668456,5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
24,24.0,11,42.0,0.65625,9.22278679645476,6,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0
25,25.0,13,55.0,0.7638888888888888,9.567014315939954,7,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0
26,26.0,15,70.0,0.9722222222222222,9.302244611718969,7,0,0,0,3,0,0,0,0,0,4,0,1,0,0,0
27,27.0,15,82.0,1.0789473684210527,9.239093336591132,7,0,0,0,3,0,0,0,0,0,4,1,0,0,0,0
28,28.0,19,101.0,1.3289473684210527,8.905018541007212,9,0,0,0,4,0,0,0,0,0,5,1,0,0,0,0
29,29.0,20,121.0,1.5125,8.843479835850795,9,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0
30,30.0,19,137.0,1.7125,8.373061539278979,9,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0
31,31.0,23,160.0,1.8181818181818181,8.522745114480637,10,0,0,0,5,0,0,0,0,0,7,0,0,1,0,0
32,32.0,24,184.0,2.090909090909091,8.153687569165703,11,0,0,0,5,0,0,0,0,0,7,0,0,1,0,0
33,33.0,26,190.0,2.0652173913043477,8.26394925133895,12,0,0,0,6,0,0,0,0,0,6,0,0,2,0,0
34,34.0,27,201.0,2.1847826086956523,8.075542110749454,12,0,0,0,8,0,0,0,0,0,5,0,0,2,0,0
35,35.0,28,216.0,2.25,8.057793854473259,13,0,0,0,8,0,1,0,0,0,4,0,0,2,0,0
36,36.0,27,236.0,2.4583333333333335,7.617454289468799,13,0,0,0,9,0,1,0,0,0,2,0,0,2,0,0
37,37.0,27,259.0,2.4903846153846154,7.761421437229287,13,0,0,0,9,0,1,0,0,0,1,0,0,2,1,0
38,38.0,28,284.0,2.730769230769231,7.411811892747798,13,0,0,0,9,0,2,0,0,0,0,0,0,3,1,0
39,39.0,33,317.0,2.935185185185185,7.486291924514445,15,0,0,0,11,0,2,0,0,0,0,0,1,3,1,0
40,40.0,34,351.0,3.25,7.336279959156591,15,0,0,0,11,0,2,0,0,0,0,0,1,4,1,0
