,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,13.3568575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,13.207615292731747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,12.733375799440147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,13.208615812583192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,13.166245346829967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,12.863696898478521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,13.558025805755397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,13.388114347419886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,13.376682174744161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,13.117958956922672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.988363573182847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,12.30445827779085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,0,0.0,0.0,12.097060012809825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,0,0.0,0.0,11.335008049884127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15.0,1,1.0,0.022727272727272728,10.94058969903096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,16.0,2,3.0,0.06818181818181818,10.220929180914284,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17,17.0,6,9.0,0.1875,9.875760310595588,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0
18,18.0,9,18.0,0.375,9.116935628627,3,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0
19,19.0,10,28.0,0.5,9.490814351315427,3,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0
20,20.0,13,41.0,0.7321428571428571,9.018185543948158,4,2,0,0,0,0,0,0,0,0,3,0,0,0,4,0
21,21.0,16,57.0,0.95,8.995087510735273,4,2,0,0,0,0,0,0,0,0,5,0,0,0,5,0
22,22.0,17,74.0,1.2333333333333334,8.592842854898276,5,2,0,0,0,0,0,0,0,0,5,0,0,0,5,0
23,23.0,18,92.0,1.4375,8.38240463052205,6,2,0,0,0,0,0,0,0,0,5,0,0,0,5,0
24,24.0,19,111.0,1.734375,7.720182385383913,6,2,0,0,0,0,0,0,0,0,5,0,0,0,6,0
25,25.0,19,130.0,1.8055555555555556,8.019433152413974,6,2,0,0,0,0,0,0,0,0,5,0,0,0,6,0
26,26.0,23,153.0,2.125,7.456457476205859,7,2,0,0,0,0,0,0,0,0,6,0,0,0,8,0
27,27.0,27,180.0,2.3684210526315788,7.337176646873497,7,3,0,0,0,1,0,0,0,0,7,0,0,0,9,0
28,28.0,29,209.0,2.75,6.810273014718113,8,3,0,0,0,2,0,0,0,0,7,0,0,0,9,0
29,29.0,32,241.0,3.0125,6.520506974815392,8,3,0,0,0,2,0,0,0,0,9,0,0,0,10,0
30,30.0,34,275.0,3.4375,5.9942949195013835,9,3,0,0,0,3,0,0,0,0,9,0,0,0,10,0
31,31.0,36,311.0,3.534090909090909,6.296024929753363,10,3,0,0,0,3,0,0,0,0,9,0,0,1,10,0
32,32.0,41,352.0,4.0,5.783123988092484,11,3,0,0,0,4,0,0,0,0,10,0,0,2,11,0
33,33.0,45,397.0,4.315217391304348,5.692408058336048,11,4,0,0,0,5,0,0,0,0,12,0,0,2,11,0
34,34.0,49,446.0,4.8478260869565215,5.32270853645891,12,4,1,0,0,6,0,0,0,0,13,0,0,2,11,0
35,35.0,51,497.0,5.177083333333333,5.2780066684968885,13,4,1,0,0,6,0,0,0,0,13,0,0,2,12,0
36,36.0,53,550.0,5.729166666666667,4.821390999252569,13,4,1,0,0,6,0,0,0,0,13,0,0,3,13,0
