,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,14.386673750000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,13.83421601463847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,13.356280712240464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,13.66009364818819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,13.188357769670954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,13.306958625336236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,13.682501969078064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,13.54664806260665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,13.366041316957249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,12.897267988623454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.283184586039734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,12.013591569820175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,1,1.0,0.020833333333333332,12.135931403575794,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,14.0,2,3.0,0.0625,11.546975065237769,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
15,15.0,1,1.0,0.019230769230769232,11.524682256718535,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,16.0,2,3.0,0.05357142857142857,11.61569439668597,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,17.0,2,5.0,0.08333333333333333,11.502558194058006,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,18.0,4,9.0,0.15,11.499652268215273,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
19,19.0,4,13.0,0.19117647058823528,11.65824138210846,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
20,20.0,4,17.0,0.25,11.466909697200409,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
21,21.0,2,2.0,0.027777777777777776,11.499802216979573,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,22.0,0,0.0,0.0,11.366106126942666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23.0,1,1.0,0.0125,11.21810852706835,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24.0,1,2.0,0.025,10.830999979105846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25.0,1,3.0,0.03409090909090909,10.933800696820537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26.0,5,8.0,0.09090909090909091,10.727555882736471,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,27.0,7,15.0,0.16304347826086957,10.558991333346276,3,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0
28,28.0,9,24.0,0.25,10.471441022312472,3,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0
29,29.0,10,34.0,0.34,10.157876422535546,3,2,0,0,0,0,0,0,2,0,0,3,0,0,0,0
30,30.0,10,39.0,0.39,9.739118904287114,3,2,0,0,0,0,0,0,1,0,0,3,0,0,1,0
31,31.0,14,52.0,0.48148148148148145,9.529902715982715,5,3,0,0,0,0,0,0,0,0,1,3,0,0,2,0
32,32.0,15,67.0,0.6203703703703703,9.216255125074738,5,3,0,0,0,0,0,0,0,0,1,4,0,0,2,0
33,33.0,17,57.0,0.5089285714285714,9.064429521574201,7,1,0,0,0,0,0,0,0,0,1,2,0,0,4,2
34,34.0,14,62.0,0.5344827586206896,8.825729848702066,7,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2
35,35.0,13,72.0,0.6,8.54386480864147,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
36,36.0,17,89.0,0.7416666666666667,8.113761959630171,8,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3
37,37.0,22,111.0,0.8671875,8.153975512411314,9,0,0,0,1,0,0,0,1,1,1,0,1,0,5,3
38,38.0,26,137.0,1.0703125,7.6263224505086065,9,0,1,0,1,0,0,0,1,1,1,0,1,1,6,4
39,39.0,25,117.0,0.8863636363636364,7.514830634626354,7,0,0,0,2,1,0,0,1,2,2,0,0,2,6,2
40,40.0,30,120.0,0.8823529411764706,7.38120754990199,6,0,0,0,2,2,1,0,2,2,4,0,0,3,7,1
41,41.0,31,130.0,0.9285714285714286,7.304751376331728,4,0,0,0,2,3,1,0,2,2,5,0,0,4,8,0
42,42.0,31,128.0,0.9142857142857143,7.061556098093498,5,0,1,0,3,4,1,0,1,1,3,0,0,4,8,0
43,43.0,32,139.0,0.9391891891891891,7.250841531826127,4,0,1,0,5,4,1,0,0,0,3,0,0,5,9,0
44,44.0,33,164.0,1.1081081081081081,7.211367829141821,3,0,2,0,5,4,1,0,0,0,3,0,0,6,9,0
45,45.0,34,193.0,1.269736842105263,7.328692623092221,2,0,2,0,5,5,1,0,1,0,2,0,0,6,9,1
46,46.0,39,232.0,1.4871794871794872,7.317371679704422,2,0,2,0,6,6,1,0,1,0,3,0,0,6,11,1
47,47.0,40,272.0,1.7,7.079677778270337,2,0,2,0,6,6,1,0,1,0,4,0,0,6,11,1
48,48.0,32,207.0,1.29375,6.835564949828222,1,0,2,0,5,4,1,0,1,0,4,0,0,4,9,1
49,49.0,29,155.0,0.9226190476190477,7.064952168211581,1,0,2,0,4,3,1,0,2,0,5,0,0,2,8,1
50,50.0,31,127.0,0.7559523809523809,7.135785530004706,3,0,2,0,2,2,3,0,3,0,7,0,1,0,7,1
51,51.0,27,105.0,0.6104651162790697,7.327930885101536,3,0,0,0,1,2,4,0,1,0,7,1,1,0,6,1
52,52.0,27,113.0,0.6420454545454546,7.579893200444818,4,0,0,0,0,2,5,0,0,0,7,2,2,0,4,1
53,53.0,31,134.0,0.7444444444444445,7.856350960901212,6,1,0,0,0,2,5,0,0,0,8,3,3,0,2,1
54,54.0,29,123.0,0.6833333333333333,8.022528384819754,7,1,0,0,0,2,3,0,0,0,8,3,4,0,1,0
55,55.0,26,137.0,0.7287234042553191,8.238902528023953,8,1,0,0,0,2,1,0,0,0,8,2,4,0,0,0
56,56.0,27,157.0,0.8351063829787234,8.160346922058652,10,1,0,0,0,2,0,0,0,0,8,2,4,0,0,0
57,57.0,29,159.0,0.828125,8.310329412505126,11,2,1,0,0,2,0,0,0,0,7,2,4,0,0,0
58,58.0,33,169.0,0.8622448979591837,8.38711923940627,12,2,2,0,0,2,0,0,0,0,6,3,4,0,2,0
59,59.0,36,186.0,0.93,8.287997216041639,13,2,2,0,0,2,0,0,0,1,5,5,4,0,2,0
60,60.0,36,200.0,1.0050251256281406,8.1255536719997,14,2,1,0,0,2,0,0,0,2,3,5,4,0,3,0
61,61.0,39,231.0,1.1159420289855073,8.10607151886982,16,2,1,0,1,2,0,0,0,2,2,5,4,0,4,0
62,62.0,42,269.0,1.2995169082125604,7.860337422391672,16,3,1,0,3,2,0,0,0,2,0,5,4,0,6,0
63,63.0,45,314.0,1.4881516587677726,7.620501153436328,16,4,1,0,3,2,0,0,0,2,0,5,4,1,6,1
64,64.0,52,366.0,1.7102803738317758,7.334088092165109,17,4,1,0,5,2,0,0,0,3,1,5,4,2,7,1
65,65.0,58,424.0,1.944954128440367,7.006965201414681,18,4,1,0,6,2,0,0,1,3,1,5,4,4,8,1
66,66.0,64,475.0,2.1788990825688073,6.669432166640484,18,4,1,0,7,2,0,0,2,2,2,5,5,4,10,2
67,67.0,71,542.0,2.398230088495575,6.624769568483781,19,5,1,1,7,2,0,0,2,0,3,5,6,6,11,3
68,68.0,82,624.0,2.7610619469026547,6.260395605868249,20,6,1,2,7,2,2,0,2,0,5,5,7,7,12,4
69,69.0,70,504.0,2.210526315789474,6.0292285719350405,20,4,0,2,6,0,2,0,1,0,4,3,5,7,12,4
70,70.0,65,459.0,1.9870129870129871,5.936755533066308,21,2,0,3,5,0,3,0,0,0,2,1,5,7,12,4
71,71.0,63,459.0,1.9531914893617022,5.887980432653081,21,1,0,5,6,0,3,0,1,0,0,0,5,7,10,4
72,72.0,61,472.0,2.0257510729613735,5.849413301774472,22,0,0,5,5,1,4,0,2,0,0,0,3,5,10,4
73,73.0,59,493.0,2.045643153526971,6.109580038295779,22,0,0,6,3,1,4,0,3,0,2,0,3,3,8,4
74,74.0,60,523.0,2.1701244813278007,6.116936673317394,23,0,0,6,3,1,4,0,3,0,3,0,5,1,7,4
75,75.0,62,516.0,2.1061224489795918,6.333885575589022,25,0,0,5,4,2,3,0,3,0,4,2,5,0,7,2
76,76.0,60,532.0,2.1365461847389557,6.478682093405256,25,0,0,4,5,2,1,1,3,0,5,2,6,0,6,0
77,77.0,62,570.0,2.261904761904762,6.50176682732913,25,0,0,3,6,2,1,2,3,0,6,3,6,0,5,0
78,78.0,60,578.0,2.2936507936507935,6.3682610338804,26,0,0,1,5,0,2,2,3,2,8,4,4,0,3,0
79,79.0,67,617.0,2.382239382239382,6.530586801470004,26,0,1,0,6,0,3,3,3,2,8,5,4,0,6,0
80,80.0,68,659.0,2.554263565891473,6.495021365256404,27,0,1,0,4,0,3,4,3,2,11,7,2,0,4,0
81,81.0,71,700.0,2.6923076923076925,6.599446353756653,28,0,3,0,5,0,4,2,3,2,11,6,2,0,5,0
82,82.0,73,757.0,2.867424242424242,6.691839064970319,28,0,4,0,4,0,4,0,3,2,12,5,4,1,6,0
83,83.0,78,828.0,3.1245283018867926,6.657364990067701,29,0,5,0,6,0,4,0,3,3,13,4,4,1,6,0
84,84.0,85,894.0,3.3992395437262357,6.568491228005233,29,2,5,0,8,0,4,0,3,2,14,3,5,1,8,1
85,85.0,87,973.0,3.6305970149253732,6.682820722271402,31,2,5,0,9,0,4,0,3,0,15,2,5,1,9,1
86,86.0,92,1065.0,4.003759398496241,6.493523115210596,31,3,5,1,10,0,4,0,3,0,15,2,6,1,10,1
87,87.0,88,1049.0,3.9288389513108615,6.325951581708306,31,3,3,1,10,0,4,0,1,0,14,2,5,1,12,1
88,88.0,88,1057.0,3.929368029739777,6.279192986822544,31,3,2,1,10,0,4,0,0,0,13,3,4,1,14,2
89,89.0,87,1091.0,4.025830258302583,6.1471163565099,32,4,2,2,8,0,4,0,0,0,11,4,3,1,14,2
90,90.0,80,1071.0,4.01123595505618,5.956220034748563,33,2,2,0,9,0,2,0,0,0,9,3,2,0,15,3
91,91.0,78,1080.0,3.9272727272727272,6.134102065859075,33,0,3,0,8,0,0,0,1,0,8,4,1,0,16,4
92,92.0,77,1122.0,4.1098901098901095,6.0558343876185505,34,0,3,0,6,0,0,1,1,0,7,3,0,0,18,4
