,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,13.23141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,12.210406571637867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,12.091132010810004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,12.569625008678038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,12.467793314234418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,12.661351588389394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,12.611670563237988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,12.298415260762205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,12.254461015542525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,12.295908357084402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.15973088963444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,11.893809535888051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,0,0.0,0.0,11.655020774090145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,1,1.0,0.013157894736842105,11.179063376829594,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15.0,3,4.0,0.05,10.971528462981933,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,16.0,4,8.0,0.09090909090909091,10.840258228481073,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
17,17.0,6,14.0,0.15217391304347827,10.553200974955159,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
18,18.0,7,21.0,0.21875,10.367685082444352,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0
19,19.0,10,31.0,0.2980769230769231,10.427180979522436,2,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0
20,20.0,11,42.0,0.3888888888888889,10.155154448619523,3,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0
21,21.0,12,54.0,0.48214285714285715,9.847309656994687,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0
22,22.0,12,66.0,0.55,9.818503520505239,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0
23,23.0,17,83.0,0.6693548387096774,9.489366166661819,4,4,0,0,0,0,0,0,4,3,0,0,0,0,2,0
24,24.0,19,102.0,0.796875,9.249851113252756,4,4,0,0,0,0,0,0,4,4,0,0,0,0,3,0
25,25.0,21,123.0,0.9044117647058824,9.177417671242813,4,4,0,0,0,0,0,0,5,4,0,0,0,0,4,0
26,26.0,24,147.0,1.05,8.928166049361549,5,5,0,0,0,0,0,0,5,4,0,0,0,0,5,0
27,27.0,26,173.0,1.2013888888888888,8.609122347106387,5,5,0,0,0,0,0,0,5,5,0,0,0,0,6,0
28,28.0,29,202.0,1.3289473684210527,8.283132389690692,6,5,0,0,0,0,0,0,5,6,0,0,0,0,7,0
29,29.0,30,232.0,1.4871794871794872,7.8559543951721045,6,5,0,0,0,0,0,0,5,6,0,1,0,0,7,0
30,30.0,34,239.0,1.49375,7.548283560102396,6,6,0,0,0,0,0,0,4,6,0,1,0,0,9,2
31,31.0,38,259.0,1.5416666666666667,7.529923914799269,7,6,0,0,0,0,0,0,3,7,0,2,0,0,11,2
32,32.0,40,290.0,1.686046511627907,7.400682610638731,7,7,0,0,0,0,0,0,1,7,0,3,0,0,12,3
33,33.0,42,298.0,1.6931818181818181,7.336044987535225,8,8,0,0,0,0,0,0,0,5,0,4,0,0,13,4
34,34.0,46,319.0,1.733695652173913,7.405075816753712,8,8,0,0,0,0,0,0,0,4,0,5,0,0,15,6
35,35.0,46,350.0,1.8617021276595744,7.272361143825954,8,8,0,0,0,0,0,0,0,2,0,6,0,0,16,6
36,36.0,45,376.0,1.9583333333333333,7.185431327850831,9,8,0,0,0,0,0,0,0,0,0,4,0,0,18,6
37,37.0,47,414.0,2.07,7.2232862897770636,9,9,0,0,1,0,0,0,0,0,0,4,0,0,18,6
38,38.0,48,455.0,2.230392156862745,7.0815848333030855,9,9,0,0,2,0,0,0,0,0,0,2,0,0,20,6
39,39.0,53,504.0,2.423076923076923,6.915166559193168,9,10,0,0,4,0,0,0,0,0,0,2,1,0,21,6
40,40.0,54,556.0,2.574074074074074,6.847153255614423,10,10,0,0,4,0,0,0,0,0,0,1,1,0,22,6
41,41.0,57,612.0,2.7818181818181817,6.635299214420089,10,10,0,0,6,0,0,0,0,0,0,0,1,0,24,6
42,42.0,61,673.0,3.0044642857142856,6.409525851145594,11,11,0,0,7,0,0,0,1,0,0,0,1,0,24,6
43,43.0,65,738.0,3.1948051948051948,6.384111780897962,11,11,0,0,8,0,0,0,1,1,0,0,1,0,26,6
44,44.0,71,809.0,3.4572649572649574,6.222333518931736,11,11,0,0,10,0,0,0,2,3,0,0,1,0,27,6
45,45.0,77,886.0,3.738396624472574,6.026683549285798,12,12,0,0,11,0,0,0,3,3,0,0,1,0,29,6
46,46.0,81,967.0,3.9631147540983607,5.997550477606099,12,12,0,0,12,0,1,0,4,3,0,0,1,0,30,6
47,47.0,89,1056.0,4.275303643724697,5.827291911545649,13,12,0,0,14,0,2,0,5,4,0,0,1,0,32,6
48,48.0,95,1151.0,4.604,5.643870362683236,13,13,0,0,15,0,3,0,7,5,0,0,1,0,32,6
49,49.0,101,1252.0,4.871595330739299,5.544832899346918,13,13,0,0,16,0,4,0,8,6,0,0,1,0,34,6
50,50.0,107,1359.0,5.226923076923077,5.213684819514725,13,13,0,0,17,0,5,0,9,7,0,0,1,0,36,6
51,51.0,110,1454.0,5.52851711026616,4.971287167212931,14,13,0,0,18,0,7,0,10,5,0,0,1,0,36,6
52,52.0,115,1556.0,5.762962962962963,4.805750760497319,15,14,0,0,19,0,8,1,11,4,0,0,1,0,36,6
53,53.0,118,1665.0,6.0989010989010985,4.587556898356628,15,15,0,0,20,0,9,1,12,2,0,0,2,0,36,6
54,54.0,123,1767.0,6.4021739130434785,4.487450109248805,15,15,0,0,22,0,8,3,14,1,0,0,3,0,36,6
55,55.0,127,1881.0,6.646643109540636,4.4850472267782395,16,16,0,0,24,0,6,3,16,0,0,0,4,0,36,6
56,56.0,130,1999.0,6.989510489510489,4.400934320876538,16,16,0,0,24,0,6,3,17,0,0,0,6,0,36,6
57,57.0,131,2119.0,7.357638888888889,4.353684947407409,16,16,0,0,25,0,5,3,17,0,0,0,7,0,36,6
58,58.0,135,2246.0,7.639455782312925,4.482525527690858,16,16,0,0,27,0,4,3,19,0,0,0,8,0,36,6
59,59.0,137,2376.0,8.027027027027026,4.404557725622448,16,16,0,0,29,0,3,3,20,0,0,0,8,0,36,6
60,60.0,142,2514.0,8.436241610738255,4.337248515281052,17,17,0,0,30,0,2,3,21,0,0,0,10,0,36,6
61,61.0,144,2655.0,8.733552631578947,4.374655727512192,17,17,0,0,32,0,1,3,21,1,0,0,10,0,36,6
62,62.0,147,2799.0,9.147058823529411,4.193019740464702,17,17,0,0,33,0,0,3,22,2,0,0,11,0,36,6
63,63.0,157,2956.0,9.597402597402597,3.948951610870488,18,18,0,0,35,0,0,3,25,4,0,0,12,0,36,6
64,64.0,167,3123.0,9.945859872611464,3.8248497207492065,19,19,1,0,35,0,1,3,27,5,0,2,13,0,36,6
65,65.0,173,3296.0,10.430379746835444,3.561832676131287,19,19,1,0,36,0,2,3,28,5,0,3,15,0,36,6
66,66.0,183,3479.0,10.940251572327044,3.3473146946759087,20,21,3,0,36,0,3,3,28,6,0,4,17,0,36,6
67,67.0,188,3667.0,11.317901234567902,3.293204820070514,20,22,3,0,36,0,4,3,30,6,0,4,18,0,36,6
68,68.0,197,3864.0,11.85276073619632,3.100091961177513,20,24,4,0,36,0,6,3,32,6,0,5,19,0,36,6
69,69.0,206,4070.0,12.408536585365853,2.9633465208213,20,25,5,0,36,0,7,3,33,7,0,7,21,0,36,6
70,70.0,211,4280.0,12.81437125748503,2.959913358326311,21,26,6,0,36,0,8,3,33,7,0,7,22,0,36,6
71,71.0,220,4500.0,13.392857142857142,2.7899730106283678,21,28,7,0,36,0,9,3,35,7,0,9,23,0,36,6
72,72.0,216,4540.0,13.431952662721894,2.7229485172969334,21,27,5,0,36,0,8,4,36,6,0,7,24,0,36,6
73,73.0,214,4592.0,13.348837209302326,2.7702464454371363,21,26,3,0,36,0,7,7,36,4,0,7,25,0,36,6
74,74.0,208,4656.0,13.495652173913044,2.708999583901013,21,26,1,0,36,0,5,8,36,2,0,6,25,0,36,6
75,75.0,207,4743.0,13.668587896253602,2.7943428441366702,23,26,0,0,36,0,5,8,36,1,0,5,25,0,36,6
76,76.0,203,4852.0,13.784090909090908,3.064157478973734,23,24,0,0,36,0,3,9,36,0,0,5,25,0,36,6
77,77.0,200,4974.0,14.011267605633803,3.2005554035689823,23,24,0,0,36,0,2,9,36,0,0,3,25,0,36,6
78,78.0,201,5114.0,14.365168539325843,3.3710896191399007,24,24,0,0,36,0,2,9,36,0,0,3,25,0,36,6
79,79.0,201,5261.0,14.613888888888889,3.5868524867972407,24,24,0,0,36,0,2,9,36,0,0,3,25,0,36,6
80,80.0,200,5421.0,15.016620498614959,3.5612318642152268,24,24,0,0,36,0,2,9,36,0,0,2,25,0,36,6
81,81.0,200,5575.0,15.443213296398891,3.4450003928347916,25,24,0,0,36,0,1,9,36,0,0,1,26,0,36,6
82,82.0,204,5756.0,15.726775956284152,3.445395714891539,25,24,2,0,36,0,2,9,36,0,0,1,27,0,36,6
83,83.0,209,5965.0,16.297814207650273,3.2842462201778715,25,25,2,0,36,0,3,9,36,1,0,2,28,0,36,6
84,84.0,213,6162.0,16.79019073569482,3.1397698385991055,26,25,2,0,36,0,4,9,36,2,0,1,30,0,36,6
