,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,13.934055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,13.049310980053917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,13.621773968824025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,13.247232959342647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,13.293839152897998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,12.836479228538517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,13.017915805284716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,12.632075999136864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,13.155647371797937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,12.301403400190326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.050214615225602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,11.66264672333123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,0,0.0,0.0,12.079257517540176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,1,1.0,0.025,11.983154679599389,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15.0,1,2.0,0.045454545454545456,12.29105106556006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16.0,1,3.0,0.06818181818181818,12.172420753511965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17.0,3,6.0,0.125,12.240137932501838,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
18,18.0,3,9.0,0.1875,11.872691222150927,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19,19.0,3,12.0,0.21428571428571427,12.01259945020217,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
20,20.0,5,17.0,0.30357142857142855,11.635950118133637,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
21,21.0,5,22.0,0.36666666666666664,11.76797572602253,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
22,22.0,5,27.0,0.45,11.5466796934159,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
23,23.0,6,33.0,0.515625,11.608639674690668,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
24,24.0,6,39.0,0.609375,11.468696267807461,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
25,25.0,7,46.0,0.6388888888888888,11.521095355576534,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
26,26.0,8,54.0,0.75,11.172104115570356,3,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
27,27.0,9,63.0,0.8289473684210527,10.8879248203753,3,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0
28,28.0,10,73.0,0.9605263157894737,10.698550276296636,3,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0
29,29.0,12,85.0,1.0625,10.467417955117291,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0
30,30.0,12,97.0,1.2125,9.921667117564345,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0
31,31.0,13,110.0,1.25,10.096776166669414,3,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0
32,32.0,15,125.0,1.4204545454545454,9.904652850601083,3,3,0,0,0,0,0,0,3,4,0,0,0,0,0,2
33,33.0,19,144.0,1.565217391304348,9.769018803591234,3,5,0,0,0,0,0,0,4,4,0,1,0,0,0,2
34,34.0,19,163.0,1.7717391304347827,9.269358615337538,3,5,0,0,0,0,0,0,4,4,0,1,0,0,0,2
35,35.0,21,184.0,1.9166666666666667,8.88096079137737,3,5,0,0,0,0,0,0,4,4,0,2,0,0,0,3
36,36.0,23,207.0,2.15625,8.304137293816542,3,5,0,0,0,0,1,0,4,4,0,2,0,0,0,4
37,37.0,28,235.0,2.2596153846153846,8.354139118744863,3,6,0,0,0,0,2,0,4,5,0,2,0,0,0,6
38,38.0,31,265.0,2.548076923076923,7.923824089572251,4,7,0,0,0,0,2,0,5,5,0,2,1,0,0,5
39,39.0,37,302.0,2.7962962962962963,7.835730399864219,5,8,0,0,0,1,2,0,5,5,0,3,2,0,0,6
40,40.0,39,341.0,3.1574074074074074,7.696460467732846,5,9,0,0,0,1,2,0,5,5,0,3,2,0,0,7
41,41.0,41,382.0,3.4107142857142856,7.508782487032328,5,10,0,0,0,1,2,0,5,5,0,3,2,0,0,8
42,42.0,38,393.0,3.5089285714285716,7.071738232274695,5,10,0,0,0,1,3,0,5,5,0,3,0,0,0,6
43,43.0,38,416.0,3.466666666666667,7.174424739358438,5,11,0,0,0,1,3,0,6,5,0,3,0,0,0,4
44,44.0,38,444.0,3.7,6.836948917531824,5,12,0,0,0,1,3,0,6,5,0,3,0,0,0,3
45,45.0,37,468.0,3.774193548387097,6.8004292736910354,5,12,0,0,0,0,4,0,6,6,0,3,0,0,0,1
46,46.0,38,500.0,4.032258064516129,6.574132807444058,6,12,0,0,0,0,5,0,6,6,0,3,0,0,0,0
47,47.0,41,541.0,4.2265625,6.677198318114732,6,13,0,0,0,0,6,0,6,6,0,4,0,0,0,0
48,48.0,41,559.0,4.3671875,6.661439735727599,6,13,0,1,0,0,5,0,6,6,0,4,0,0,0,0
49,49.0,40,588.0,4.323529411764706,7.07196985636101,6,14,0,1,0,0,3,0,6,6,0,4,0,0,0,0
50,50.0,41,622.0,4.573529411764706,7.077452142366309,7,14,0,1,0,0,1,0,7,7,0,4,0,0,0,0
51,51.0,40,659.0,4.707142857142857,7.29900718887714,7,14,0,1,0,0,0,0,7,7,0,4,0,0,0,0
52,52.0,44,703.0,5.021428571428571,7.34790747834025,7,15,0,1,0,0,0,0,7,7,0,5,2,0,0,0
53,53.0,45,748.0,5.194444444444445,7.6070653216911115,7,15,0,1,0,0,0,0,7,7,0,6,2,0,0,0
54,54.0,49,797.0,5.534722222222222,7.61429644720498,7,17,0,1,0,0,0,0,7,7,0,6,4,0,0,0
55,55.0,51,848.0,5.578947368421052,7.935520566011751,8,17,0,1,0,0,0,0,8,7,0,6,4,0,0,0
56,56.0,52,900.0,5.921052631578948,7.856189499567862,8,17,0,1,0,0,0,0,8,7,0,6,5,0,0,0
57,57.0,51,942.0,6.038461538461538,7.862464847140916,8,17,0,0,0,0,0,0,8,7,0,6,5,0,0,0
58,58.0,53,995.0,6.378205128205129,7.596596786609084,8,17,0,0,0,0,0,0,8,8,0,6,5,1,0,0
59,59.0,54,1049.0,6.55625,7.376924967099558,8,17,0,0,0,0,0,0,8,8,0,6,5,2,0,0
60,60.0,57,1087.0,6.79375,7.083547714856169,9,19,0,0,0,0,0,0,8,8,0,7,4,2,0,0
61,61.0,54,1125.0,6.696428571428571,7.090697224543613,9,19,0,0,0,0,0,0,9,8,0,7,2,0,0,0
62,62.0,56,1173.0,6.982142857142857,6.88288508080224,9,20,0,0,0,0,1,0,9,9,0,8,0,0,0,0
63,63.0,57,1230.0,7.151162790697675,6.927693450838711,9,20,0,0,0,0,2,0,9,9,0,8,0,0,0,0
64,64.0,57,1287.0,7.482558139534884,6.75271652207276,9,20,0,0,0,0,2,0,9,9,0,8,0,0,0,0
65,65.0,61,1348.0,7.659090909090909,6.779949437192636,9,22,0,0,0,0,4,0,9,9,0,8,0,0,0,0
66,66.0,62,1410.0,8.011363636363637,6.853668762989483,10,22,0,0,0,0,4,0,9,9,0,8,0,0,0,0
67,67.0,67,1477.0,8.027173913043478,7.129495269628839,10,23,0,0,0,0,6,0,10,10,0,8,0,0,0,0
68,68.0,70,1547.0,8.407608695652174,6.94724917453876,10,25,0,0,0,0,7,0,10,10,0,8,0,0,0,0
69,69.0,71,1618.0,8.606382978723405,6.846445808074904,10,25,0,0,0,0,8,0,10,10,0,8,0,0,0,0
70,70.0,74,1692.0,9.0,6.498148600840119,10,26,0,0,0,0,9,0,10,10,0,8,1,0,0,0
71,71.0,77,1769.0,9.261780104712042,6.310943124969432,10,26,0,0,0,0,10,0,10,10,0,8,2,0,0,1
72,72.0,79,1829.0,9.575916230366492,5.8796618586327725,10,27,0,1,0,0,9,0,10,10,0,9,2,0,0,1
73,73.0,83,1896.0,9.624365482233502,5.707266812997119,10,28,1,2,0,0,7,0,11,10,0,9,3,0,0,2
