,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1,0,0.0,0.0,13.511668750000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.2,0,0.0,0.0,13.500434589543193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.3,0,0.0,0.0,13.42307717416324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.4,0,0.0,0.0,13.38686473598592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5,0,0.0,0.0,13.48790123609016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.6,0,0.0,0.0,13.470884607600794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.7,0,0.0,0.0,13.395067995764595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.8,0,0.0,0.0,13.414044493025916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.9,0,0.0,0.0,13.492544854831696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.0,0,0.0,0.0,13.486064694671708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1.1,0,0.0,0.0,13.471649499827812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.2,0,0.0,0.0,13.464995321402142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.3,0,0.0,0.0,13.393143647621667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.4,0,0.0,0.0,13.437993940248901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.5,0,0.0,0.0,13.430633568508831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.6,0,0.0,0.0,13.500233412057906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.7,0,0.0,0.0,13.410092528766302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.8,0,0.0,0.0,13.480059083012215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.9,0,0.0,0.0,13.454002633803803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.0,0,0.0,0.0,13.447261633785722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2.1,0,0.0,0.0,13.843949502162983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2.2,0,0.0,0.0,13.802130831883327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2.3,0,0.0,0.0,13.768156885220394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2.4,0,0.0,0.0,13.790950356659517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2.5,0,0.0,0.0,13.834070907429677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2.6,0,0.0,0.0,13.762441487316698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2.7,0,0.0,0.0,13.810809708773661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2.8,0,0.0,0.0,13.761791523915134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2.9,0,0.0,0.0,13.805749519884623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3.0,0,0.0,0.0,13.775156892571948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3.1,0,0.0,0.0,13.782727866753044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3.2,0,0.0,0.0,13.765035734424714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3.3,0,0.0,0.0,13.793174653508585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3.4,0,0.0,0.0,13.793922938651441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3.5,0,0.0,0.0,13.816774550094776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3.6,0,0.0,0.0,13.823606969926544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3.7,0,0.0,0.0,13.788038878512763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3.8,0,0.0,0.0,13.779980765671665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3.9,0,0.0,0.0,13.759421471005497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4.0,0,0.0,0.0,13.792563257329668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,4.1,0,0.0,0.0,13.737192537788404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4.2,0,0.0,0.0,13.768823264701977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4.3,0,0.0,0.0,13.747979451322216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4.4,0,0.0,0.0,13.747456836582614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4.5,0,0.0,0.0,13.742696024491206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4.6,0,0.0,0.0,13.727984821214676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4.7,0,0.0,0.0,13.757496095241267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,4.8,0,0.0,0.0,13.716372991181897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,4.9,0,0.0,0.0,13.73422147887385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,5.0,0,0.0,0.0,13.738254287586068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,5.1,0,0.0,0.0,13.718315176118967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,5.2,0,0.0,0.0,13.720997229295653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,5.3,0,0.0,0.0,13.714051788109106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,5.4,0,0.0,0.0,13.757942627711207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,5.5,0,0.0,0.0,13.730848645831328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,5.6,0,0.0,0.0,13.745752701300997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,5.7,0,0.0,0.0,13.75106565637373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5.8,0,0.0,0.0,13.744217944483143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5.9,0,0.0,0.0,13.726133890427054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,6.0,0,0.0,0.0,13.737543558947262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,6.1,0,0.0,0.0,13.959449840364586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,6.2,0,0.0,0.0,13.987878862610083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,6.3,0,0.0,0.0,13.962767194889404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,6.4,0,0.0,0.0,13.92109822598596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,6.5,0,0.0,0.0,13.93753211405089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,6.6,0,0.0,0.0,13.962182226842266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,6.7,0,0.0,0.0,13.9505981971176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,6.8,0,0.0,0.0,13.929003597536356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,6.9,0,0.0,0.0,13.966069386370167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,7.0,0,0.0,0.0,13.960505609145619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,7.1,0,0.0,0.0,13.94398741936854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,7.2,0,0.0,0.0,13.937426876403235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,7.3,0,0.0,0.0,13.927861297629613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,7.4,0,0.0,0.0,13.962610042731198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,7.5,0,0.0,0.0,13.932499721870599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,7.6,0,0.0,0.0,13.964757941882901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,7.7,0,0.0,0.0,13.954442699320301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,7.8,0,0.0,0.0,13.965565071159117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,7.9,0,0.0,0.0,13.969047420922431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,8.0,0,0.0,0.0,13.947989760817725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,8.1,0,0.0,0.0,14.17186840039208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,8.2,0,0.0,0.0,14.161667132824286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,8.3,0,0.0,0.0,14.155270570020283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,8.4,0,0.0,0.0,14.154952093882041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,8.5,0,0.0,0.0,14.142970689254017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,8.6,0,0.0,0.0,14.06862064278903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,8.7,0,0.0,0.0,14.089680785916679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,8.8,0,0.0,0.0,14.011156297884865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
