,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,13.01596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,12.887205340956374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,12.39598610512895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,12.463030056825977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,12.215762400473105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,12.171367182969918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,12.494447756091821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,12.344183911504436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,12.494546199933666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,12.281698502257028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.203514232419135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,11.3747706935298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,0,0.0,0.0,11.411820772231199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,1,1.0,0.025,10.671246226591796,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,15.0,2,3.0,0.06818181818181818,10.657385716131886,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
16,16.0,4,7.0,0.1590909090909091,10.15755456048245,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
17,17.0,5,12.0,0.25,9.987301534742999,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
18,18.0,4,14.0,0.2916666666666667,9.635723668610423,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
19,19.0,5,19.0,0.3392857142857143,9.850251433083953,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0
20,20.0,6,25.0,0.44642857142857145,9.223536760262903,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,0
21,21.0,6,31.0,0.5166666666666667,9.432450607214376,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,0
22,22.0,10,41.0,0.6833333333333333,9.243185835050484,1,2,0,0,0,0,0,0,2,1,0,0,0,0,4,0
23,23.0,12,53.0,0.828125,9.356616309040385,1,2,0,0,0,0,0,0,2,2,0,0,0,0,5,0
24,24.0,14,67.0,1.046875,9.142617502226937,1,2,0,0,0,0,0,0,2,2,0,0,0,0,7,0
25,25.0,14,81.0,1.125,9.4710395842583,1,2,0,0,0,0,0,0,2,2,0,0,0,0,7,0
26,26.0,14,95.0,1.3194444444444444,9.208195548987689,1,2,0,0,0,0,0,0,2,2,0,0,0,0,7,0
