,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_0,phase_1,phase_10,phase_11,phase_12,phase_13,phase_14,phase_15,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,0,0.0,0.0,14.057765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.0,0,0.0,0.0,13.88823520630911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,0,0.0,0.0,13.519424924884019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,0,0.0,0.0,13.844525688817749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.0,0,0.0,0.0,13.583142953681545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0,0.0,0.0,13.640215090209404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.0,0,0.0,0.0,13.567778666919601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,0,0.0,0.0,13.622739484611936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9.0,0,0.0,0.0,13.377253450370707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10.0,0,0.0,0.0,13.239540420677491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11.0,0,0.0,0.0,12.896988440127485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.0,0,0.0,0.0,12.239923977231184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13.0,0,0.0,0.0,12.085528257738808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14.0,3,3.0,0.075,11.73742033258767,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
15,15.0,4,7.0,0.1590909090909091,11.434147711304332,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
16,16.0,4,11.0,0.25,11.186625700065592,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
17,17.0,5,16.0,0.3333333333333333,11.285021871472367,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
18,18.0,6,22.0,0.4583333333333333,10.726599439705984,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0
19,19.0,7,29.0,0.5178571428571429,10.840592701803757,2,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0
20,20.0,9,38.0,0.6785714285714286,10.445901324936317,2,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0
21,21.0,8,39.0,0.65,10.462143090653417,2,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0
22,22.0,9,48.0,0.8,10.065389447636191,2,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0
23,23.0,11,59.0,0.921875,9.972749935773932,2,1,0,0,0,0,0,0,0,2,5,0,0,0,1,0
24,24.0,11,59.0,0.921875,9.402056800503999,2,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0
25,25.0,11,70.0,0.9722222222222222,9.66217159766479,2,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0
26,26.0,14,84.0,1.1666666666666667,9.177326222526752,2,1,0,0,0,0,0,0,0,0,8,0,0,0,1,2
27,27.0,14,91.0,1.1973684210526316,9.136004537425544,3,0,0,0,0,0,0,0,0,0,8,0,0,0,1,2
28,28.0,16,107.0,1.4078947368421053,8.753771002912693,3,0,0,0,0,0,0,0,0,0,8,0,0,0,3,2
29,29.0,18,125.0,1.5625,8.715914321970187,3,0,0,0,0,0,0,0,0,0,9,0,0,0,3,3
30,30.0,18,119.0,1.4875,8.25919825614041,1,0,0,0,0,0,0,0,0,0,9,0,0,0,4,4
31,31.0,20,135.0,1.5340909090909092,8.497534570855377,0,0,0,0,0,0,0,0,0,0,10,1,0,0,4,5
32,32.0,22,157.0,1.7840909090909092,8.152407529448139,0,1,0,0,0,0,0,0,0,0,11,1,0,0,4,5
33,33.0,27,184.0,2.0,8.067784788640797,1,2,0,0,0,0,0,0,1,0,12,1,0,0,5,5
34,34.0,29,213.0,2.3152173913043477,7.699955087768551,1,3,0,0,0,0,0,0,1,0,12,1,0,0,6,5
